"name","price","chipset","memory","core_clock","boost_clock","color","length"
"Asus STRIX GAMING OC",1439.99," RTX 3090",24,1395,1890,"Black",318
"Asus DUAL OC",468.1," RTX 3070",8,1500,NA,"Black",267
"EVGA XC3 ULTRA GAMING",769.9," RTX 3080 10GB",10,1440,1755,"Black",285
"Asus ROG STRIX GAMING",1949.99," RTX 4090",24,2235,2550,"Black",358
"PowerColor Red Dragon OC",698," RX 6800 XT",16,1825,2310,"Black",310
"MSI GAMING X SLIM",869.99," RTX 4070 Ti SUPER",16,2340,2685,"White / Silver",307
"ASRock Challenger D OC",139," RX 5500 XT",4,1685,1845,"Black / Yellow",241
"Asus DUAL EVO OC",309.99," RTX 4060",8,1830,2535,"Black",227
"Asus ROG STRIX GAMING OC",1438.99," RTX 3080 Ti",12,1365,1845,"Black / Silver",318
"MSI Ventus XS OCV1",159.99," GTX 1650 G6",4,1410,1620,"Black / Silver",179
"MSI GAMING X SLIM MLG",604.99," RTX 4070 SUPER",12,1980,2655,"Black / Red",307
"Zotac GAMING AMP",229.99," GTX 1660 SUPER",6,1530,1845,"Black",210
"Gigabyte OC Low Profile",189.99," RTX 3050 6GB",6,1040,1477,"Black",181
"Gigabyte WINDFORCE 2X OC",549.99," RTX 4070",12,2475,2490,"Black / Silver",201
"Gigabyte AERO OC",1469.99," RTX 4080",16,2205,2535,"White",342
"Asus TUF GAMING",999.9," RTX 4070 Ti",12,2310,2640,"Black",305
"PowerColor Fighter",259.99," RX 7600",8,1720,2655,"Black",212
"Zotac GAMING AMP Holo",869.99," RTX 4070 Ti SUPER",16,2340,2640,"Black",356
"Zotac GAMING AMP Extreme AIRO",2995," RTX 4090",24,2235,2580,"Black / Silver",356
"MSI GAMING X TRIO",699.99," RTX 3070 Ti",8,1575,1830,"Black / Silver",323
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",829.99," RTX 4070 Ti SUPER",16,2340,2655,"Black",333
"Asus TUF GAMING OC V2",308.99," RTX 3060 12GB",12,1320,1882,"Black",301
"MSI GAMING X",247.25," GTX 1050 Ti",4,1290,1493,"Black / Red",229
"Gigabyte GAMING OC V2",1014.76," RTX 4070 Ti",12,2310,2640,"Black",300
"Asus ROG STRIX GAMING OC",1649.9," RTX 4080",16,2205,2655,"White",358
"Gigabyte GAMING OC",1229.27," RTX 3080 Ti",12,1365,1770,"Black / Silver",320
"MSI VENTUS 2X E OC",694.92," RTX 4070",12,1920,2520,"Silver / Black",245
"ASRock Phantom Gaming D",139.9," RX 570",4,1168,1244,"Black",236
"Zotac GAMING Twin Edge",540.52," RTX 4060 Ti",16,2310,2535,"Black",226
"Asus TUF GAMING OC V2",929," RTX 3080 10GB LHR",10,1440,1815,"Black",300
"Sapphire NITRO+",550.79," RX 7700 XT",12,1700,NA,"Black",320
"MSI GAMING X",499.99," GTX 1070",8,1506,1797,"Black / Red",279
"NVIDIA Founders Edition",978," RTX 2080 Ti",11,1350,1635,"",267
"PNY VERTO",379.99," RTX 4060 Ti",8,2310,2535,"Black",245
"Acer Predator BiFrost OC",229.99,"Arc A750",8,2050,NA,"Black",267
"MSI GeForce RTX 3090 TI GAMING X TRIO 24G",1545.95," RTX 3090 Ti",24,1560,1920,"Black",325
"MSI GAMING X TRIO",1045," RTX 4070 Ti",12,2310,2760,"Black",337
"Inno3D Twin X2",346.7," RTX 3060 12GB",12,1320,1777,"Black",240
"Asus TUF GAMING OC",568.13," RX 7700 XT",12,1700,2599,"Black",320
"Gigabyte WINDFORCE",2149," RTX 4090",24,2235,2520,"Black",331
"MSI GAMING X SLIM",779.99," RTX 4070 Ti",12,2310,2745,"Black",307
"PowerColor Red Devil",571.26," RX 6700 XT",12,2321,2622,"Black",320
"Sapphire NITRO+",459," RX 580",8,1257,1411,"Black",260
"Asus ProArt OC",669.99," RTX 4070 SUPER",12,1980,2565,"Black / Gold",300
"EVGA BLACK GAMING",1213.99," RTX 2080 SUPER",8,1650,1815,"Black",270
"Zotac GAMING Trinity OC",799.99," RTX 4070 Ti",12,2310,2625,"White",307
"ASRock Phantom Gaming OC",449.99," RX 7700 XT",12,1700,2599,"Black",328
"Asus TUF GAMING OC",311.04," GTX 1650 SUPER",4,1530,1800,"Black",206
"PowerColor Hellhound Sakura OC",599.99," RX 7800 XT",16,1295,2520,"White / Pink",322
"MSI VENTUS 2X OC",489.9," RTX 3060 Ti",8,1410,1695,"Black / Silver",232
"Asus ROG STRIX GAMING OC",899.99," RTX 3070 Ti",8,1575,NA,"Black / Silver",318
"Asus DUAL OC",330.71," RTX 3050 8GB",8,1550,1852,"Black",200
"ASRock Steel Legend OC",551.41," RX 7700 XT",12,1700,2599,"White",304
"EVGA FTW3 ULTRA GAMING",1549.95," RTX 3090 Ti",24,1560,1920,"Black",300
"Zotac GAMING Twin Edge OC",419.99," RTX 4060 Ti",8,2310,2565,"White",226
"Asus TUF GAMING OC",699.99," RTX 3070 Ti",8,1575,1815,"Black / Silver",300
"EVGA XC3 ULTRA GAMING",679.99," RTX 3070 Ti",8,1575,1815,"Black",285
"Gigabyte AORUS MASTER",699.99," RTX 4070 SUPER",12,1980,2655,"Black",342
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",619.99," RTX 4070 SUPER",12,1980,2505,"Black",305
"MSI MECH 2X OC",189.99," RX 6500 XT",4,2310,2825,"Black / Silver",172
"Asus ROG STRIX WHITE OC",1519.99," RTX 3090",24,1395,1890,"White / Black",318
"Sparkle ELF",119.99,"Arc A380",6,2000,2000,"Blue / Black",153
"PowerColor Red Devil OC",699.97," RX 6800 XT",16,1825,2340,"Black",320
"Zotac Twin Edge OC",559.99," RTX 4070",12,1920,2490,"Black",226
"Gigabyte D6 OC Rev 2.0",191.23," GTX 1650 G6",4,1410,1635,"Black / Silver",172
"Zotac Trinity Black Edition",649.99," RTX 4070 SUPER",12,1980,2475,"Black",307
"Gigabyte EAGLE OC",868.82," RTX 4070",12,1920,2505,"Black",261
"Asus ProArt OC",364.99," RTX 4060",8,1830,2580,"Black / Gold",300
"Asus ROG STRIX",598.99," GTX 1080",8,1670,1835,"Black",298
"Asus DUAL EVO OC",608.16," RTX 4070",12,1920,2550,"Black",227
"PNY VERTO",259.99," RTX 3060 8GB",8,1320,1777,"Black",247
"Zotac GAMING Trinity OC",2279," RTX 4090",24,2235,2535,"White",356
"PNY VERTO",499.99," RTX 3070 Ti",8,1575,1770,"Black",305
"XFX Speedster SWFT 210",399.99," RX 6600 XT",8,2092,2589,"Black",241
"Zotac GAMING Trinity OC",1307.48," RTX 3080 Ti",12,1365,1695,"Black / Silver",318
"EVGA SC ULTRA GAMING",259.99," GTX 1660 SUPER",6,1530,1830,"Black",202
"Zotac GAMING Twin Fan",219.99," GTX 1660",6,1530,1785,"Black",216
"Gigabyte EAGLE OC",409.99," RTX 4060 Ti",8,2310,NA,"Black",272
"MSI MECH 2X OC",832.5," RX 6700 XT",12,2321,NA,"Black / Silver",247
"Asus DUAL EVO OC",345," RTX 2060",6,1365,1785,"Black",242
"Palit Dual",696.49," RTX 4070 SUPER",12,1980,2475,"Black",269
"NVIDIA Founders Edition",589," GTX 1070 Ti",8,1607,1683,"Silver / Black",267
"MSI Radeon RX 6900 XT GAMING X TRIO 16G",1011.33," RX 6900 XT",16,1825,2340,"Silver / Black",324
"Asus ROG STRIX GAMING",1494.73," RTX 4080 SUPER",16,2210,2580,"Black",358
"Gigabyte AORUS MASTER",583.12," RTX 3070",8,1500,1845,"Black",290
"Asus DUAL OC",591.8," RX 6750 XT",12,2150,2618,"Black / Silver",295
"MSI VENTUS 2X OC",739," RTX 4070 Ti",12,2310,2655,"White / Silver",242
"EVGA SC GAMING",339," RTX 2060",6,1365,1710,"Black",190
"MSI AERO",819.99," RTX 4070 Ti SUPER",16,2340,2610,"Black",263
"MSI GeForce RTX 3090 GAMING X TRIO 24G",1299.99," RTX 3090",24,1395,NA,"Black",335
"Palit Dual",354.56," RTX 3060 12GB",12,1320,NA,"Black",245
"MSI GAMING X TRIO",1851," RTX 3080 Ti",12,1365,1770,"Black / Silver",324
"Zotac GAMING AMP Extreme AIRO",1069.99," RTX 4080 SUPER",16,2210,2610,"Black",356
"Acer Predator BiFrost OC",299.99," RX 7600",8,1720,2725,"Black",267
"MSI GAMING X",557.92," RTX 4060 Ti",16,2310,2655,"Black",247
"Asus ROG STRIX GAMING OC",688.21," RTX 4060 Ti",16,2310,2745,"Black / Red",311
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",779.99," RTX 4070 Ti",12,2310,2670,"Black",332
"MSI GAMING X TRIO",579.99," RX 6750 XT",12,2150,2623,"Silver / Black",327
"EVGA SC GAMING",443.24," GTX 1060 6GB",6,1607,1835,"Black / Gray",173
"Asus STRIX GAMING OC",575," RTX 2070",8,1410,1845,"Black",305
"MSI VENTUS 3X E OC",779.87," RTX 4070 Ti",12,2310,2655,"Silver / Black",308
"Asus ROG STRIX GAMING",849.99," RTX 4070 Ti",12,2310,2640,"Black",336
"XFX Speedster MERC 319 Black",769.99," RX 6900 XT",16,1950,2365,"Black / Silver",340
"Gigabyte Vision OC",997.5," RTX 3070 Ti",8,1575,1830,"White / Silver",320
"Sapphire NITRO+",599.99," RX 6700 XT",12,2321,2622,"Silver / Black",310
"Asus TUF Gaming EVO OC",359.99," GTX 1660 Ti",6,1500,1845,"Black / Gray",206
"Asus ROG STRIX GAMING OC",739," RTX 3070",8,1500,1905,"Black",318
"MSI Radeon RX 5500 XT MECH 8G OC",349.99," RX 5500 XT",8,1647,1845,"Black",215
"XFX Speedster MERC 308 Black",399.99," RX 6650 XT",8,2055,2694,"Silver / Black",274
"PowerColor Hellhound OC",349.99," RX 7600 XT",16,1720,2810,"Black",220
"MSI GeForce RTX 2060 VENTUS GP 12G OC",297.5," RTX 2060 12GB",12,1470,1695,"Gray / Black",231
"MSI GAMING Z TRIO",949.95," RTX 3080 10GB LHR",10,1440,1830,"Black",323
"MSI VENTUS XS OC",229.99," GTX 1650 G5",4,1485,1740,"Black / White",170
"Acer Predator BiFrost OC",229.99,"Arc A750",8,2200,2400,"Black",267
"Zotac GAMING Twin Fan",222.86," GTX 1660 SUPER",6,1530,1785,"Black",173
"Gigabyte Vision OC",539," RTX 3060 Ti",8,1665,1755,"Silver / White",281
"Asus ROG STRIX GAMING OC V2",669.99," RTX 3060 12GB",12,1320,1912,"Black / Silver",300
"MSI VENTUS 2X OCV1",499," RTX 3060 Ti LHR",8,1410,1695,"Black / Gray",235
"MSI VENTUS XS OC",379.99," GTX 1660 Ti",6,1500,1830,"",204
"MSI ARMOR OC",489.95," RX 580",8,1257,1366,"Black / White",269
"MSI MECH 2X OC",529," RX 6750 XT",12,2150,2618,"Silver / Black",249
"Asus ProArt OC",1556.98," RTX 4080",16,2205,2625,"Black / Gold",300
"Asus TUF GAMING",599," RTX 3070 Ti",8,1575,1800,"Black / Silver",300
"Asus Phoenix",229.99," RTX 3050 8GB",8,1550,1807,"Black",177
"MSI GeForce RTX 3070 VENTUS 3X OC",692.78," RTX 3070",8,1500,1755,"Black / Silver",305
"Asus Phoenix",249," GTX 1050 Ti",4,1290,1392,"Black / White",192
"Zotac GAMING AMP Extreme AIRO",749.99," RTX 4070 Ti",12,2310,2700,"Black",356
"Inno3D Twin X2",665.89," RTX 4070",12,1920,2475,"Black / Silver",250
"MSI SUPRIM LIQUID",1919," RTX 4090",24,2235,2610,"Black / Silver",280
"MSI VENTUS 2X OC",389.35," RTX 3050 8GB",8,1550,NA,"Black",235
"EVGA FTW3 ULTRA GAMING",956.99," RTX 3080 12GB LHR",12,1260,1800,"Black",300
"Asus TUF GAMING OC",1419.95," RTX 3090",24,1395,NA,"Black",300
"Asus TUF GAMING OC",1034.99," RTX 3080 Ti",12,1365,1695,"Black",300
"Zotac Twin Edge",708.52," RTX 4070",12,1920,2475,"Black",226
"Sparkle ORC OC",199.99,"Arc A750",8,2050,2200,"Blue / Black",222
"Gigabyte GAMING OC",587," RX 6600 XT",8,1968,2593,"Black / Silver",282
"Gigabyte GAMING OC",1414.99," RTX 3090",24,1395,1755,"Black / Gray",320
"Asus TUF GAMING",629.99," RTX 4070",12,2475,2505,"Black",301
"EVGA XC GAMING",718," RTX 3060 Ti",8,1410,1710,"Black",202
"EVGA FTW GAMING ACX 3.0",599.99," GTX 1080",8,1721,1860,"Black / Silver",267
"Asus TUF GAMING",449.99," RTX 4060 Ti",8,2310,2565,"Black",300
"MSI VENTUS 2X OC",799," RTX 3070",8,1500,1755,"Black / Silver",232
"Palit StormX",480.22," RTX 4060 Ti",8,2310,2535,"Black",170
"Gigabyte GAMING OC",999.99," RX 6800 XT",16,1825,2285,"Black / Silver",286
"NVIDIA 9001G4012510000",469," GTX 970",4,1050,1178,"Black / Silver",267
"Gigabyte GAMING OC",1448," RTX 4080",16,2205,2535,"Black",342
"Asus DUAL",609.99," RTX 4070 SUPER",12,1980,2505,"White",267
"Gigabyte GAMING OC",469.5," GTX 1660 SUPER",6,1530,1860,"Black / Silver",280
"Asus DUAL",349," GTX 1060 3GB",3,1594,1809,"White",242
"Zotac GAMING Trinity OC",2599," RTX 4090",24,2235,2535,"Black / Silver",356
"MSI VENTUS XS OC",649," RTX 2080 SUPER",8,1650,1830,"Silver / Black",257
"PNY XLR8 Gaming VERTO EPIC-X RGB",739.2," RTX 4070",12,1920,2475,"Black",305
"MSI EXPERT",829.99," RTX 4070 Ti SUPER",16,2340,2685,"Silver",312
"Gigabyte EAGLE OC",590.11," RTX 3070",8,1500,1770,"Black / Silver",282
"Zotac GAMING AMP Holo",659.9," RTX 3070 Ti",8,1575,1830,"Black / Silver",317
"MSI GAMING X",229.99," RTX 3050 8GB",8,1550,NA,"Black",278
"MSI VENTUS 3X E OC",732.54," RTX 4070",12,1920,2520,"Silver / Black",308
"Asus ROG STRIX OC",479.99," RTX 4060 Ti",8,2310,2715,"Black",311
"MSI Radeon RX 6800 XT Gaming X Trio 16G",899.99," RX 6800 XT",16,1850,2285,"Silver / Black",324
"Gigabyte EAGLE",419," RX 6700 XT",12,2321,NA,"Black",282
"Asus STRIX GAMING",679.99," RTX 4070",12,2475,2505,"Black",339
"MSI GAMING X TRIO",799.99," RTX 4070",12,1920,NA,"Black / Gray",338
"Palit StormX",364.89," RTX 4060",8,1830,2460,"Black",170
"EVGA XC3 BLACK GAMING",840," RTX 3080 10GB",10,1440,1710,"Black",285
"Asus TUF Gaming OG",2249.98," RTX 4090",24,2235,2550,"Black",326
"AMD ‎100-438373",999.99," RX 6900 XT",16,1825,2250,"Black / Silver",267
"MSI GAMING X",598," GTX 1080",8,1607,1847,"Black / Red",279
"Acer Predator BiFrost OC",559.99," RX 7800 XT",16,1295,2565,"Black",282
"PNY XLR8 Gaming VERTO EPIC-X RGB",329.99," RTX 4060",8,1830,2460,"Black",260
"Asus DUAL",614.48," RX 6700 XT",12,2321,NA,"Black",295
"Zotac GAMING",280.83," GTX 1660 Ti",6,1500,1770,"Black",173
"Gigabyte EAGLE",243.18," RX 6500 XT",4,2310,2815,"Black",192
"Gainward 426018336-3798",5021," GTX 1060 3GB",3,1506,1708,"Black",252
"EVGA XC GAMING",259.98," RTX 3050 8GB",8,1550,1845,"Black",202
"Asus Noctua OC",1999.99," RTX 4080",16,2205,2625,"Brown / Beige",310
"Sparkle GENIE",124.99,"Arc A380",6,2000,2000,"Blue",145
"Asus DUAL",399.99," RTX 4060 Ti",8,2310,2565,"White",227
"Asus TUF-RX6800XT-O16G-GAMING",1078," RX 6800 XT",16,1825,2340,"Black",320
"Asus ROG STRIX",599," GTX 1070 Ti",8,1607,1759,"Black",298
"PNY XLR8 Gaming VERTO EPIC-X RGB",1789.99," RTX 4090",24,2230,2520,"Black",332
"NVIDIA Founders Edition",746.96," RTX 2070",8,1410,1710,"Silver / Black",229
"EVGA FTW3 ULTRA GAMING",489.9," RTX 3060 Ti LHR",8,1410,1800,"Black",285
"MSI GeForce RTX 3080 GAMING X TRIO 10G",899.95," RTX 3080 10GB",10,1440,NA,"Black",323
"Asus DUAL OC V2",499," RTX 3070 LHR",8,1500,1800,"Black",267
"Asus TUF GAMING OC",1557.98," RTX 4080",16,2205,2625,"Black",348
"PNY VERTO",749.99," RTX 4070 Ti",12,2310,2610,"Black",305
"MSI GAMING X",999.99," RTX 2070 SUPER",8,1605,1800,"Black",297
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",489.99," RTX 4060 Ti",16,2310,2580,"Black",305
"EVGA SC ULTRA GAMING",228," GTX 1650 SUPER",4,1530,1755,"Black",202
"Asus ROG STRIX GAMING",729.99," RTX 4070 SUPER",12,1980,2505,"Black",339
"Asus ROG STRIX WHITE OC",1629.99," RTX 3080 10GB",10,1440,1935,"White",318
"Gigabyte AORUS MASTER",968.03," RTX 3070 Ti",8,1575,1875,"Black",324
"Gigabyte GAMING OC",670," RX 6700 XT",12,2321,NA,"Black / Silver",281
"MSI D6 VENTUS XS OC",159.99," GTX 1650 G6",4,1410,1620,"Black / Silver",178
"XFX Speedster QICK 319 BLACK",549.99," RX 6700 XT",12,2457,2622,"Black",323
"MSI GAMING X SLIM",1758.5," RTX 4070 Ti",12,2310,2745,"White",307
"PowerColor Fighter OC",199.99," RX 6500 XT",4,2310,NA,"Black",191
"Zotac GAMING Trinity OC",699.99," RTX 3070 Ti",8,1575,1800,"Black",318
"Asus DUAL OC",282.14," GTX 1650 G5",4,1485,1755,"Silver / Black",204
"Asus ROG STRIX GAMING OC",999," RTX 3080 12GB LHR",12,1260,1890,"Black / Silver",318
"EVGA FTW3 ULTRA GAMING",1279," RTX 2080 Ti",11,1350,1755,"Clear / Black",302
"ASRock Phantom Gaming D OC",699.95," RX 6900 XT",16,1925,2340,"Black / Silver",330
"Gigabyte GAMING OC PRO",559.99," RTX 3060 Ti",8,1410,1770,"Black / Silver",286
"EVGA XC ULTRA GAMING",393.02," RTX 2080",8,1515,1815,"Black / Clear",270
"PNY VERTO",299.99," RTX 3060 12GB",12,1320,1777,"Black",247
"Asus DUAL EVO OC",266.77," GTX 1660 SUPER",6,1530,1860,"Black",242
"EVGA FTW3 ULTRA GAMING LHR",839.95," RTX 3080 10GB LHR",10,1440,1800,"Black",300
"Asus DUAL EVO OC",399.99," RTX 4060 Ti",8,2310,2595,"Black",227
"PowerColor Fighter",399.99," RX 6600 XT",8,1968,2589,"Black",200
"EVGA XC3 BLACK GAMING",733.7," RTX 3080 10GB LHR",10,1440,1710,"Black",285
"EVGA XC ULTRA GAMING",562.08," GTX 1660 Ti",6,1500,1860,"Black",268
"Asus LP BRK OC",339.99," RTX 4060",8,1830,2520,"Black",188
"Inno3D Compact",349.14," RTX 4060",8,1830,2460,"Black",155
"EVGA FTW3 ULTRA GAMING iCX3",455.43," RTX 3060 Ti",8,1410,1800,"Black",285
"MSI ARMOR OC",249.99," RX 580",4,1257,1366,"Black / White",269
"EVGA XC3 BLACK GAMING",697.98," RTX 3070 LHR",8,1500,1725,"Black",285
"Sapphire PULSE",697.43," RX 6600 XT",8,1968,2593,"Black / Red",240
"MSI MECH 2X CLASSIC OC",269.99," RX 7600",8,1720,2695,"Black / Silver",235
"MSI RTX 3090 SUPRIM X 24G",1549.99," RTX 3090",24,1395,1875,"Silver",336
"Sparkle TITAN OC",259.99,"Arc A750",8,2050,2300,"Blue / Black",306
"MSI SUPRIM X",1269," RTX 4070 Ti",12,2310,2790,"Black / Silver",338
"EVGA SC GAMING ACX 3.0 Black Edition",570," GTX 1070 Ti",8,1607,1683,"Black",267
"MSI GAMING Z",447.8," RTX 2060",6,1365,1830,"Black / Gray",247
"Asus DUAL OC",363.9," RTX 3060 12GB",12,1320,NA,"Black",200
"Asus Phoenix OC V2",150," GTX 1650 G6",4,1410,1635,"Black",174
"MSI GeForce RTX 3090 VENTUS 3X 24G OC",1484.99," RTX 3090",24,1395,NA,"Black",305
"Palit GameRock OC",2420.28," RTX 4090",24,2235,2610,"Silver / Black",329
"Palit StormX",218.31," RTX 3050 6GB",6,1040,1470,"Black",162
"MSI MSI RTX 2070 Ventus 8G Video Card",629," RTX 2070",8,1410,1620,"Silver / Black",226
"ASRock Challenger ITX",239.99," RX 6600 XT",8,1968,NA,"Black",179
"MSI VENTUS 2X OC",499.99," RTX 3070 LHR",8,1500,1755,"Black",232
"MSI VENTUS 3X OC",1707.55," RTX 3080 Ti",12,1365,1695,"Black / Silver",305
"Asus DUAL OC",449.99," RX 6600 XT",8,1968,2607,"Black / White",243
"EVGA XC3 ULTRA GAMING",1379.99," RTX 3090",24,1395,1725,"Black / Red",285
"EVGA XC3 ULTRA GAMING iCX3",989.99," RTX 3080 Ti",12,1365,1725,"Black",300
"ASRock OC Formula",1006.3," RX 6900 XT",16,2125,2475,"Silver / Black",332
"ASRock Phantom Gaming D OC",339.99," RX 6750 XT",12,2150,2623,"Silver / Black",305
"Asus DUAL OC",185," RX 6500 XT",4,2310,2820,"Black",201
"PNY XLR8 Gaming REVEL EPIC-X RGB",329.99," RTX 3060 12GB",12,1320,NA,"Black",170
"Acer Nitro OC",419.99," RX 7700 XT",12,1700,2590,"Black",279
"Zotac GAMING AMP Holo",488.58," RTX 3070",8,1500,1785,"Silver / Black",291
"Asus ROG STRIX LC GAMING",3458.48," RTX 4090",24,2235,2550,"Black / Silver",293
"MSI SUPRIM X",1449.99," RTX 4080",16,2205,2640,"Black",336
"Gigabyte AORUS ELITE",629.9," RTX 3060 Ti",8,1410,1785,"Black",296
"EVGA XC ULTRA BLACK GAMING",274.98," GTX 1660 Ti",6,1500,1770,"Black",268
"Gigabyte WINDFORCE OC",279," GTX 1650 G6",4,1410,1650,"Black / Silver",191
"EVGA ACX 2.0",359," GTX 970",4,1050,1178,"Black / Blue",241
"MSI GeForce GTX 1650 SUPER",427," GTX 1650 SUPER",4,1530,1740,"Black / Silver",180
"Sparkle ROC Luna OC",319.99,"Arc A770",16,2100,2300,"White",281
"PowerColor Red Devil OC",706.16," RX 6900 XT",16,2015,2340,"Black",332
"Palit GameRock",2379.02," RTX 4090",24,2235,2520,"Silver / Black",329
"XFX GTS",264.45," RX 580",8,1405,1425,"Black / Red",270
"MSI GAMING",729," GTX 1070 Ti",8,1607,1683,"Black / Red",279
"Inno3D Twin X2",233.29," RTX 3050 6GB",6,1040,1470,"Gray / Black",222
"EVGA SC GAMING ACX 3.0",529.99," GTX 1070",8,1594,1784,"Black / Silver",267
"Asus TUF GAMING OC",574," RX 6700 XT",12,2321,NA,"Black",322
"MSI GAMING X",495.78," RX 6600 XT",8,1968,2607,"Black / Silver",277
"PowerColor Hellhound",549.99," RX 6700 XT",12,2321,2581,"Black",305
"Inno3D Twin X2",469.51," RTX 4060 Ti",8,2310,2535,"Black / Gray",250
"Asus TUF GAMING OC",209.99," RX 6500 XT",4,2310,2825,"Black",250
"PowerColor Red Devil",343.99," RX 580",8,1257,1380,"Black / Red",255
"EVGA SC GAMING ACX 2.0",399.99," GTX 1050 Ti",4,1354,1468,"Black",145
"Gigabyte OC Rev 2.0",271.35," RTX 2060",6,1365,1755,"Black / Gray",226
"MSI MECH 2X",738," RX 6700 XT",12,2321,NA,"Black / Silver",247
"MSI GAMING X TRIO",612.2," RTX 4060 Ti",8,2310,NA,"Black",338
"MSI GAMING X",392.48," RTX 3060 Ti LHR",8,1410,1770,"Black / Gray",278
"Asus ROG STRIX",354.44," RX 580",8,1257,1380,"Black",298
"Asus DUAL EVO OC",2325.5," RTX 2070 SUPER",8,1635,1845,"Black",267
"Asus ROG STRIX GAMING OC V2",949.9," RTX 3080 10GB LHR",10,1440,1935,"Black",318
"PowerColor ITX",212.8," RX 6500 XT",4,2310,NA,"Black",165
"Zotac GAMING Trinity",1349.9," RTX 4080",16,2205,2505,"Black",356
"EVGA XC GAMING",421.88," RTX 3060 Ti LHR",8,1410,1710,"Black",202
"MSI GAMING X TRIO",1489.99," RTX 4080",16,2205,2610,"White",337
"Asus STRIX GAMING OC",549," RTX 2060",6,1365,1860,"Black",300
"MSI GAMING X TRIO",669," RTX 3060 12GB",12,1320,1852,"Black",323
"EVGA SC Black Edition",549," GTX 1080 Ti",11,1556,1670,"Black",267
"PNY VCGGTX10502PB",239," GTX 1050",2,1354,1455,"Black",178
"Gigabyte GAMING OC 3X",845," RTX 2070 SUPER",8,1605,1815,"Black",286
"Asus ROG STRIX GAMING OC V2",714.99," RTX 3060 Ti LHR",8,1410,1890,"Black / Silver",318
"Asus DUAL OC",359.99," RTX 3060 8GB",8,1320,1867,"Black",200
"PNY XLR8 Gaming REVEL EPIC-X RGB",499," RTX 3070 LHR",8,1500,1725,"Silver / Black",294
"Asus DUAL OC V2",599.99," RTX 3060 Ti LHR",8,1410,1740,"Black / Silver",269
"Sparkle ROC Luna OC",239.99,"Arc A750",8,2050,2200,"White",281
"PowerColor Red Devil",849.99," RX 7900 XT",20,2000,2535,"Black",338
"MSI Radeon RX 6600 XT MECH 2X 8G OCV1",399," RX 6600 XT",8,1968,2602,"Black / Silver",215
"MSI GAMING X TRIO 8GD6X",571," RTX 3060 Ti",8,1410,1845,"Black",323
"EVGA Gaming iCX",999.99," GTX 1080 Ti",11,1569,1683,"Silver",300
"Asus TUF GAMING OC",999," RTX 3080 12GB LHR",12,1260,1815,"Black / Silver",300
"Sapphire NITRO+ SE",1298.47," RX 6900 XT",16,1825,2365,"Black / White",310
"Gigabyte WINDFORCE OC",299.99," GTX 1650 SUPER",4,1530,1755,"Black / Silver",225
"Zotac GAMING Trinity OC",1289.9," RTX 4080",16,2205,2520,"Black",356
"Asus TUF GAMING OC",315.02," GTX 1650 G6",4,1410,1680,"Black",204
"MSI AERO ITX OC",209.99," RTX 3050 8GB",8,1550,NA,"Black / Silver",172
"Asus DUAL",579.68," RTX 4070",12,2475,2505,"White",267
"Gigabyte GAMING OC",261.25," RX 6500 XT",4,2310,2825,"Black / Gray",282
"XFX Speedster QICK 308 Black",649.99," RX 6600 XT",8,2188,2607,"Black",274
"PNY VERTO",1127.99," RTX 4080",16,2205,2505,"Black",332
"Asus DUAL OC",279.99," RX 7600",8,1720,2745,"Black",245
"Asus TUF GAMING",320.56," GTX 1650 SUPER",4,1530,1755,"Black",206
"PowerColor Hellhound Sakura OC Limited",629.99," RX 7800 XT",16,1295,2520,"White / Pink",322
"Gigabyte AORUS ELITE",543.68," RX 6750 XT",12,2150,2623,"Black / Gray",296
"Inno3D Twin X2 OC",565.98," RTX 4060 Ti",16,2310,2595,"White / Silver",250
"Palit Dual OC",348.92," RTX 3060 12GB",12,1320,NA,"Black",245
"Zotac GAMING OC",286," GTX 1650 G6",4,1410,1620,"Black / Gray",151
"Asus ROG STRIX GAMING",1559.99," RTX 4080",16,2205,2535,"Black",358
"Gigabyte AORUS MASTER",1283.33," RTX 3080 10GB",10,1440,NA,"Black",319
"EVGA SSC ACX 2.0+",399," GTX 960",4,1279,1342,"Black / Silver",257
"EVGA Founders Edition",499," GTX 1080 Ti",11,1480,1582,"Black / Silver",267
"MSI GTX 1070 TI TITANIUM 8G",499," GTX 1070 Ti",8,1607,1683,"Black / Silver",279
"Asus ROG STRIX",327.55," RX 570",4,1168,1310,"Black",240
"Gigabyte AORUS ELITE",653.78," RTX 4060",8,1830,NA,"Black / Silver",299
"EVGA XC GAMING",599," RTX 2070 SUPER",8,1605,1800,"Transparent",270
"Zotac GAMING Twin Fan",339.99," GTX 1650 SUPER",4,1530,1725,"Black",158
"MSI GAMING",319.99," RTX 4060",8,1830,2475,"Black",247
"Zotac GAMING Trinity",800.08," RTX 4070 Ti",12,2310,2610,"Black",307
"Zotac GAMING Twin Edge OC",399.99," RTX 3050 8GB",8,1550,1807,"Black / Silver",224
"Gigabyte AORUS MASTER",1126.95," RTX 3080 Ti",12,1365,1770,"Black",320
