"name","price","chipset","memory","core_clock","boost_clock","color","length"
"ASRock Phantom Gaming OC",709.99," RX 7900 XT",20,2000,2450,"White",330
"MSI VENTUS 3X OC",619.99," RTX 4070 SUPER",12,1980,2520,"Black",308
"Asus DUAL",599.99," RTX 4070",12,2475,2505,"Black",267
"MSI SUPRIM LIQUID X",1899," RTX 4090",24,2235,NA,"Black / Silver",280
"Gigabyte AERO OC",879.99," RTX 4070 Ti SUPER",16,2340,2655,"White / Silver",300
"PowerColor Hellhound OC",519.99," RX 7800 XT",16,1295,2520,"Black",322
"Asus ProArt OC",509.99," RTX 4060 Ti",16,2310,2685,"Black / Gold",300
"Gigabyte EAGLE OC",304.99," RTX 4060",8,1830,NA,"Black",272
"Asus TUF GAMING OC",859.99," RTX 4070 Ti SUPER",16,2340,2670,"White",305
"XFX Speedster SWFT 210 Core",259.99," RX 7600",8,1875,2655,"Black",241
"Gigabyte AERO OC",1149.99," RTX 4080 SUPER",16,2210,2595,"White / Silver",342
"Gigabyte AERO OC",427.99," RTX 4060 Ti",8,2310,NA,"White / Silver",281
"Gigabyte AERO OC",1849.72," RTX 4090",24,2520,2535,"Silver / White",342
"Asus TUF GAMING",2189.98," RTX 4090",24,2235,2550,"Black",348
"ASRock Challenger D OC",239.99," RX 6600 XT",8,1968,NA,"Black",269
"Sapphire NITRO+",569.99," RX 7800 XT",16,1295,NA,"Black",320
"MSI VENTUS 2X OC",304.99," RTX 4060",8,1830,2505,"White / Silver",199
"Sapphire PURE",559.99," RX 7900 GRE",16,1270,2333,"White",320
"Gigabyte GAMING OC",599," RTX 4070 SUPER",12,1980,2565,"Black",300
"Asus DUAL OC",619.99," RTX 4070 SUPER",12,1980,2550,"White",267
"EVGA FTW3 ULTRA GAMING",719.99," RTX 3080 10GB",10,1440,1800,"Black",300
"Gigabyte GAMING OC",1099.99," RTX 4080 SUPER",16,2210,2595,"Black",342
"MSI VENTUS XS OC",299.89," GTX 1660 SUPER",6,1530,1815,"Black / Silver",204
"ASRock Challenger",224.99," RX 6600",8,1626,2491,"White",269
"MSI GAMING X SLIM",703.09," RTX 4070",12,1920,2625,"Black / Gray",307
"Zotac GAMING Twin Edge OC",599.99," RTX 4070 SUPER",12,1980,2490,"Black",234
"MSI VENTUS 2X XS OC",199.99," RTX 3050 8GB",8,1550,1807,"Black / Gray",205
"PNY VERTO OC",799.99," RTX 4070 Ti SUPER",16,2340,2625,"Black",305
"ASRock Challenger Pro OC",379.99," RX 6750 XT",12,2150,2618,"Black",303
"NVIDIA Founders Edition",1389.99," RTX 4080",16,2210,2510,"Black / Silver",304
"Zotac GAMING Twin Edge OC",319.99," RTX 4060",8,1830,2490,"White",221
"MSI VENTUS 2X OC",259," RTX 3060 8GB",8,1320,1807,"Black",235
"Asus DUAL OC",179.99," RTX 3050 6GB",6,1040,1537,"Black",201
