"product","product.href","Manufacturer","name","socket","image","form_factor","chipset","max_memory","memory_type","memory_slots","m2_slot","price","category"
"ASRock H670 PG Riptide","https://pcpartpicker.com/product/bRhFf7/asrock-h670-pg-riptide-atx-lga1700-motherboard-h670-pg-riptide","ASRock","ASRock H670 PG Riptide ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/2ff5c859fc52c9bda07f739cf93d7ff8.256p.jpg","ATX","Intel H670",128,"DDR4","4","",147.72,"MOBO"
"Gigabyte H810M GAMING WIFI6","https://pcpartpicker.com/product/Bn7MnQ/gigabyte-h810m-gaming-wifi6-micro-atx-lga1851-motherboard-h810m-gaming-wifi6","Gigabyte","Gigabyte H810M GAMING WIFI6 Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/726df2e410d14291f89c5e0f1260ca48.256p.jpg","Micro ATX","Intel H810",128,"DDR5","2","",139.99,"MOBO"
"Asus PRIME Z370-P II","https://pcpartpicker.com/product/M3ndnQ/asus-prime-z370-p-ii-atx-lga1151-motherboard-prime-z370-p-ii","Asus","Asus PRIME Z370-P II ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/122e9a153682a887a52d28ea65fda90a.256p.jpg","ATX","Intel Z370",64,"DDR4","4","",269.99,"MOBO"
"Asus TUF Z390M-PRO GAMING (WI-FI)","https://pcpartpicker.com/product/ZQvbt6/asus-tuf-z390m-pro-gaming-wi-fi-micro-atx-lga1151-motherboard-tuf-z390m-pro-gaming-wi-fi","Asus","Asus TUF Z390M-PRO GAMING (WI-FI) Micro ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/6b36f42a6e68062814367c42e68779ed.256p.jpg","Micro ATX","Intel Z390",128,"DDR4","4","",295,"MOBO"
"Asus ROG STRIX Z690-G GAMING WIFI","https://pcpartpicker.com/product/DHrRsY/asus-rog-strix-z690-g-gaming-wifi-micro-atx-lga1700-motherboard-rog-strix-z690-g-gaming-wifi","Asus","Asus ROG STRIX Z690-G GAMING WIFI Micro ATX LGA1700 Motherboard","LGA1700","https://m.media-amazon.com/images/I/41BCwA2q4bL.jpg","Micro ATX","Intel Z690",128,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",549,"MOBO"
"Asus PRO Q570M-C/CSM","https://pcpartpicker.com/product/LbD7YJ/asus-pro-q570m-ccsm-micro-atx-lga1200-motherboard-pro-q570m-ccsm","Asus","Asus PRO Q570M-C/CSM Micro ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/0e2ee20fe8f5790f312185515729937e.256p.jpg","Micro ATX","Intel Q570",128,"DDR4","4","2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",181.29,"MOBO"
"Gigabyte H610M D3W DDR4","https://pcpartpicker.com/product/jGsV3C/gigabyte-h610m-d3w-ddr4-micro-atx-lga1700-motherboard-h610m-d3w-ddr4","Gigabyte","Gigabyte H610M D3W DDR4 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/9848f67482bea6747b863dcb85edf197.256p.jpg","Micro ATX","Intel H610",64,"DDR4","2","",121.03,"MOBO"
"ASRock Z890 Steel Legend WiFi","https://pcpartpicker.com/product/jhn9TW/asrock-z890-steel-legend-wifi-atx-lga1851-motherboard-z890-steel-legend-wifi","ASRock","ASRock Z890 Steel Legend WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/dae8ccb0129fa25584270bb60ef76e5e.256p.jpg","ATX","Intel Z890",256,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2230/2242/2260/2280 M-key
                        
                            2230 E-key",259.99,"MOBO"
"MSI PRO Z890-S WIFI WHITE","https://pcpartpicker.com/product/GXmNnQ/msi-pro-z890-s-wifi-white-atx-lga1851-motherboard-pro-z890-s-wifi-white","MSI","MSI PRO Z890-S WIFI WHITE ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/64e2353acbeb300daad92a658bd01a92.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",235.99,"MOBO"
"Gigabyte B860M AORUS ELITE WIFI6E ICE","https://pcpartpicker.com/product/pr62FT/gigabyte-b860m-aorus-elite-wifi6e-ice-micro-atx-lga1851-motherboard-b860m-aorus-elite-wifi6e-ice","Gigabyte","Gigabyte B860M AORUS ELITE WIFI6E ICE Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/733dd08a329230849882c81d4595b5f0.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","",189.99,"MOBO"
"ASRock Z890 Pro RS WiFi White","https://pcpartpicker.com/product/z9hv6h/asrock-z890-pro-rs-wifi-white-atx-lga1851-motherboard-z890-pro-rs-wifi-white","ASRock","ASRock Z890 Pro RS WiFi White ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/9b8dc3145e73fd1c334dec1d11efc6f4.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",229.99,"MOBO"
"MSI B860 GAMING PLUS WIFI","https://pcpartpicker.com/product/xTBFf7/msi-b860-gaming-plus-wifi-atx-lga1851-motherboard-b860-gaming-plus-wifi","MSI","MSI B860 GAMING PLUS WIFI ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/196d62051e3e6471e827b842a81612f2.256p.jpg","ATX","Intel B860",256,"DDR5","4","",209.99,"MOBO"
"Asus ROG STRIX Z590-I GAMING WIFI","https://pcpartpicker.com/product/Hf8bt6/asus-rog-strix-z590-i-gaming-wifi-mini-itx-lga1200-motherboard-rog-strix-z590-i-gaming-wifi","Asus","Asus ROG STRIX Z590-I GAMING WIFI Mini ITX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/eab5fc15cc9e87e6fd34515796ab8bd0.256p.jpg","Mini ITX","Intel Z590",64,"DDR4","2","",549,"MOBO"
"Gigabyte Z790 EAGLE","https://pcpartpicker.com/product/ZYzXsY/gigabyte-z790-eagle-atx-lga1700-motherboard-z790-eagle","Gigabyte","Gigabyte Z790 EAGLE ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/2a03a7ca82ad9e635d6e749882a90c83.256p.jpg","ATX","Intel Z790",192,"DDR5","4","2280/22110 M-key
                        
                            2280 M-key
                        
                            2280 M-key",263.44,"MOBO"
"Gigabyte GA-Z270P-D3","https://pcpartpicker.com/product/WN98TW/gigabyte-ga-z270p-d3-atx-lga1151-motherboard-ga-z270p-d3","Gigabyte","Gigabyte GA-Z270P-D3 ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/9d86cbb5832e9edad8c305a34658309e.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",236.49,"MOBO"
"Asus PRIME B860M-A WIFI-CSM","https://pcpartpicker.com/product/X29nTW/asus-prime-b860m-a-wifi-csm-micro-atx-lga1851-motherboard-prime-b860m-a-wifi-csm","Asus","Asus PRIME B860M-A WIFI-CSM Micro ATX LGA1851 Motherboard","LGA1851","https://m.media-amazon.com/images/I/51vGHwhPpAL.jpg","Micro ATX","Intel B860",256,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",169.99,"MOBO"
"Asus ROG STRIX B760-A GAMING WIFI D4","https://pcpartpicker.com/product/ZMGbt6/asus-rog-strix-b760-a-gaming-wifi-d4-atx-lga1700-motherboard-rog-strix-b760-a-gaming-wifi-d4","Asus","Asus ROG STRIX B760-A GAMING WIFI D4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/c1355fb3cf80b5d9dec90f0c61cf217b.256p.jpg","ATX","Intel B760",128,"DDR4","4","2242/2260/2280 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",381.99,"MOBO"
"Gigabyte B860M EAGLE PLUS WIFI6E","https://pcpartpicker.com/product/84qNnQ/gigabyte-b860m-eagle-plus-wifi6e-micro-atx-lga1851-motherboard-b860m-eagle-plus-wifi6e","Gigabyte","Gigabyte B860M EAGLE PLUS WIFI6E Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/dad18a7d29e93b8df15799b3b9bc5d08.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","",159.99,"MOBO"
"MSI MPG Z490 GAMING CARBON WIFI","https://pcpartpicker.com/product/TYtKHx/msi-mpg-z490-gaming-carbon-wifi-atx-lga1200-motherboard-mpg-z490-gaming-carbon-wifi","MSI","MSI MPG Z490 GAMING CARBON WIFI ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/515217b4cc007c0a98c7f3ed5b302621.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",397,"MOBO"
"ASRock Z890 Taichi","https://pcpartpicker.com/product/W63NnQ/asrock-z890-taichi-atx-lga1851-motherboard-z890-taichi","ASRock","ASRock Z890 Taichi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/8c927c6ab294c224efa4e606ebf39021.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",436.99,"MOBO"
"MSI MAG B560M MORTAR WIFI","https://pcpartpicker.com/product/WmrRsY/msi-mag-b560m-mortar-wifi-micro-atx-lga1200-motherboard-mag-b560m-mortar-wifi","MSI","MSI MAG B560M MORTAR WIFI Micro ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/7fac2531fd84562ab9ca62b2c32f1f4d.256p.jpg","Micro ATX","Intel B560",128,"DDR4","4","",324.99,"MOBO"
"Asus Pro B650M-CT-CSM","https://pcpartpicker.com/product/TDcgXL/asus-pro-b650m-ct-csm-micro-atx-am5-motherboard-pro-b650m-ct-csm","Asus","Asus Pro B650M-CT-CSM Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/057a9ff304ee0fc52535209424204ce8.256p.jpg","Micro ATX","AMD B650",192,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",147.99,"MOBO"
"ASRock B860M LiveMixer WiFi","https://pcpartpicker.com/product/GLJBD3/asrock-b860m-livemixer-wifi-micro-atx-lga1851-motherboard-b860m-livemixer-wifi","ASRock","ASRock B860M LiveMixer WiFi Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/3e824deb7f9a809edb1331e5aab278a7.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2230 E-key",169.99,"MOBO"
"ASRock Z370 Extreme4","https://pcpartpicker.com/product/QNX2FT/asrock-z370-extreme4-atx-lga1151-motherboard-z370-extreme4","ASRock","ASRock Z370 Extreme4 ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/733aae698bf410958b6a10a7ef613474.256p.jpg","ATX","Intel Z370",64,"DDR4","4","",757.62,"MOBO"
"MSI MAG B860M MORTAR WIFI","https://pcpartpicker.com/product/2jy8TW/msi-mag-b860m-mortar-wifi-micro-atx-lga1851-motherboard-mag-b860m-mortar-wifi","MSI","MSI MAG B860M MORTAR WIFI Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/0ffc02109bf8132b4258e65690109068.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","2242/2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key",219.99,"MOBO"
"ASRock Z890 LiveMixer WiFi","https://pcpartpicker.com/product/fGsV3C/asrock-z890-livemixer-wifi-atx-lga1851-motherboard-z890-livemixer-wifi","ASRock","ASRock Z890 LiveMixer WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/d84f834ee35ca028ae5eaf2c71496469.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",239.99,"MOBO"
"Gigabyte Z790 AORUS ELITE AX DDR4","https://pcpartpicker.com/product/LtjBD3/gigabyte-z790-aorus-elite-ax-ddr4-atx-lga1700-motherboard-z790-aorus-elite-ax-ddr4","Gigabyte","Gigabyte Z790 AORUS ELITE AX DDR4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/644bc466ea862b254a71b1e5ce666981.256p.jpg","ATX","Intel Z790",128,"DDR4","4","2280/22110 M-key
                        
                            2280/22110 M-key
                        
                            2280/22110 M-key
                        
                            2280/22110 M-key",279.99,"MOBO"
"ASRock B860M Pro-A WiFi","https://pcpartpicker.com/product/NcYfrH/asrock-b860m-pro-a-wifi-micro-atx-lga1851-motherboard-b860m-pro-a-wifi","ASRock","ASRock B860M Pro-A WiFi Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/031ef52033c32c65736b49587d067864.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","2280 M-key
                        
                            2230/2242/2260/2280 M-key
                        
                            2280 M-key
                        
                            2230 E-key",149.99,"MOBO"
"Asus ROG Crosshair VIII Impact","https://pcpartpicker.com/product/skLwrH/asus-rog-crosshair-viii-impact-mini-dtx-am4-motherboard-rog-crosshair-viii-impact","Asus","Asus ROG Crosshair VIII Impact Mini DTX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/005aa9940eb3ecffa05ae374dec365a8.256p.jpg","Mini DTX","AMD X570",64,"DDR4","2","",589,"MOBO"
"Gigabyte Z390 AORUS PRO","https://pcpartpicker.com/product/MVPKHx/gigabyte-z390-aorus-pro-atx-lga1151-motherboard-z390-aorus-pro","Gigabyte","Gigabyte Z390 AORUS PRO ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/2a39a11ee414d3a73b9a830970a0c331.256p.jpg","ATX","Intel Z390",128,"DDR4","4","",349.99,"MOBO"
"Gigabyte Z690 AORUS MASTER","https://pcpartpicker.com/product/tyytt6/gigabyte-z690-aorus-master-eatx-lga1700-motherboard-z690-aorus-master","Gigabyte","Gigabyte Z690 AORUS MASTER EATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/ea41140e6443430b9d3072b2307a20e1.256p.jpg","EATX","Intel Z690",192,"DDR5","4","2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",349,"MOBO"
"ASRock Z790 LiveMixer","https://pcpartpicker.com/product/6Ynypg/asrock-z790-livemixer-atx-lga1700-motherboard-z790-livemixer","ASRock","ASRock Z790 LiveMixer ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/f721f4424e3895646ab0d4a4df6eac02.256p.jpg","ATX","Intel Z790",192,"DDR5","4","",159.99,"MOBO"
"ASRock B860M Steel Legend WiFi","https://pcpartpicker.com/product/4sZWGX/asrock-b860m-steel-legend-wifi-micro-atx-lga1851-motherboard-b860m-steel-legend-wifi","ASRock","ASRock B860M Steel Legend WiFi Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/d2f6349a1292e3024609e36d93fc1148.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","",179.99,"MOBO"
"ASRock B860M-H2","https://pcpartpicker.com/product/C6sMnQ/asrock-b860m-h2-micro-atx-lga1851-motherboard-b860m-h2","ASRock","ASRock B860M-H2 Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/e03536a1549b8704877ad10950e2e853.256p.jpg","Micro ATX","Intel B860",128,"DDR5","2","2280 M-key
                        
                            2280 M-key
                        
                            2230 E-key",119.99,"MOBO"
"MSI PRO Z890-S WIFI","https://pcpartpicker.com/product/dzbRsY/msi-pro-z890-s-wifi-atx-lga1851-motherboard-pro-z890-s-wifi","MSI","MSI PRO Z890-S WIFI ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/4cf97c9919523e3c6014a81401fcafca.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",239.99,"MOBO"
"Gigabyte B760M GAMING X AX DDR4","https://pcpartpicker.com/product/97rRsY/gigabyte-b760m-gaming-x-ax-ddr4-micro-atx-lga1700-motherboard-b760m-gaming-x-ax-ddr4","Gigabyte","Gigabyte B760M GAMING X AX DDR4 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/573013b092908c16d07b52d277c1d643.256p.jpg","Micro ATX","Intel B760",128,"DDR4","4","",219.95,"MOBO"
"Asus Pro B760M-CT-CSM","https://pcpartpicker.com/product/2JC48d/asus-pro-b760m-ct-csm-micro-atx-lga1700-motherboard-pro-b760m-ct-csm","Asus","Asus Pro B760M-CT-CSM Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/127efc15cbc5cb550628b185d55cfe9c.256p.jpg","Micro ATX","Intel B760",192,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",135.24,"MOBO"
"Gigabyte X570 UD","https://pcpartpicker.com/product/LcYQzy/gigabyte-x570-ud-atx-am4-motherboard-x570-ud","Gigabyte","Gigabyte X570 UD ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/575459297fc3c5490b6a3878a2bd578f.256p.jpg","ATX","AMD X570",128,"DDR4","4","",275,"MOBO"
"Gigabyte Z890 AERO G","https://pcpartpicker.com/product/fRjRsY/gigabyte-z890-aero-g-atx-lga1851-motherboard-z890-aero-g","Gigabyte","Gigabyte Z890 AERO G ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/cbac2505cf69e045d8a69d52e2986179.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",319.99,"MOBO"
"MSI MPG Z790 EDGE WIFI DDR4","https://pcpartpicker.com/product/4jwypg/msi-mpg-z790-edge-wifi-ddr4-atx-lga1700-motherboard-mpg-z790-edge-wifi-ddr4","MSI","MSI MPG Z790 EDGE WIFI DDR4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/c99d3cc0cb5c05aa50c9b264c0bae8c5.256p.jpg","ATX","Intel Z790",128,"DDR4","4","2260/2280/22110 M-key
                        
                            2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2230 E-key",589.99,"MOBO"
"Gigabyte Z890 AORUS ELITE X ICE","https://pcpartpicker.com/product/rPtLrH/gigabyte-z890-aorus-elite-x-ice-atx-lga1851-motherboard-z890-aorus-elite-x-ice","Gigabyte","Gigabyte Z890 AORUS ELITE X ICE ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/cbde46ef19e2a45adaca5dce0eb1df70.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",267.95,"MOBO"
"ASRock H670M Pro RS","https://pcpartpicker.com/product/WJ2WGX/asrock-h670m-pro-rs-micro-atx-lga1700-motherboard-h670m-pro-rs","ASRock","ASRock H670M Pro RS Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/7119b4079fa5ef885fa22df3258fd4e7.256p.jpg","Micro ATX","Intel H670",128,"DDR4","4","",153.68,"MOBO"
"Asus ROG STRIX B660-F GAMING WIFI","https://pcpartpicker.com/product/RZmmP6/asus-rog-strix-b660-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-b660-f-gaming-wifi","Asus","Asus ROG STRIX B660-F GAMING WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/a7ab76579e2bc9644d377760f1393d4b.256p.jpg","ATX","Intel B660",192,"DDR5","4","2242/2260/2280/22110 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",229.99,"MOBO"
"MSI MPG X570S EDGE MAX WIFI","https://pcpartpicker.com/product/vVC48d/msi-mpg-x570s-edge-max-wifi-atx-am4-motherboard-mpg-x570s-edge-max-wifi","MSI","MSI MPG X570S EDGE MAX WIFI ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/30406225bfb8697157a274fb6ca21532.256p.jpg","ATX","AMD X570",128,"DDR4","4","",734.79,"MOBO"
"Asus PRIME B450M-A/CSM","https://pcpartpicker.com/product/wW66Mp/asus-prime-b450m-acsm-micro-atx-am4-motherboard-prime-b450m-acsm","Asus","Asus PRIME B450M-A/CSM Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/72348f323717803396909dcfff98c0ca.256p.jpg","Micro ATX","AMD B450",64,"DDR4","4","",228,"MOBO"
"Gigabyte Z590 AORUS ELITE AX","https://pcpartpicker.com/product/YJ8bt6/gigabyte-z590-aorus-elite-ax-atx-lga1200-motherboard-z590-aorus-elite-ax","Gigabyte","Gigabyte Z590 AORUS ELITE AX ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/3b15aecb9e732104d74a171096c8c286.256p.jpg","ATX","Intel Z590",128,"DDR4","4","",375,"MOBO"
"NZXT N7-Z69XT-W1","https://pcpartpicker.com/product/cZytt6/nzxt-n7-z69xt-w1-atx-lga1700-motherboard-n7-z69xt-w1","NZXT","NZXT N7-Z69XT-W1 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/ab5f3ec82862abac7ef258dae5b1b918.256p.jpg","ATX","Intel Z690",128,"DDR4","4","",299.99,"MOBO"
"ASRock Z890 Taichi AQUA","https://pcpartpicker.com/product/2YyH99/asrock-z890-taichi-aqua-eatx-lga1851-motherboard-z890-taichi-aqua","ASRock","ASRock Z890 Taichi AQUA EATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/f9f1c33d42c44bba55512982672f5755.256p.jpg","EATX","Intel Z890",256,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2242/2260/2280 M-key",767.99,"MOBO"
"MSI PRO H610M-G","https://pcpartpicker.com/product/KfyH99/msi-pro-h610m-g-micro-atx-lga1700-motherboard-pro-h610m-g","MSI","MSI PRO H610M-G Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/8058f9afc3fab911459dcb018d972b55.256p.jpg","Micro ATX","Intel H610",96,"DDR5","2","2242/2260/2280 M-key
                        
                            2230 E-key",136.22,"MOBO"
"MSI MEG X570 ACE","https://pcpartpicker.com/product/pGXYcf/msi-meg-x570-ace-atx-am4-motherboard-meg-x570-ace","MSI","MSI MEG X570 ACE ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/a997f929e59ac43cd8f3624831ad6076.256p.jpg","ATX","AMD X570",128,"DDR4","4","",599.99,"MOBO"
"MSI MPG Z690 FORCE WIFI","https://pcpartpicker.com/product/JLjBD3/msi-mpg-z690-force-wifi-atx-lga1700-motherboard-mpg-z690-force-wifi","MSI","MSI MPG Z690 FORCE WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/1ba24bfcac3647fb9e04f747d06cd999.256p.jpg","ATX","Intel Z690",192,"DDR5","4","2260/2280/22110 M-key
                        
                            2260/2280 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2230 E-key",389.99,"MOBO"
"Gigabyte X570 AORUS PRO WIFI","https://pcpartpicker.com/product/4qsnTW/gigabyte-x570-aorus-pro-wifi-atx-am4-motherboard-x570-aorus-pro-wifi","Gigabyte","Gigabyte X570 AORUS PRO WIFI ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/42dca73470ac6d956d8e1947e8c4ae67.256p.jpg","ATX","AMD X570",128,"DDR4","4","",436,"MOBO"
"Gigabyte Z390 AORUS ELITE","https://pcpartpicker.com/product/GPdxFT/gigabyte-z390-aorus-elite-atx-lga1151-motherboard-z390-aorus-elite","Gigabyte","Gigabyte Z390 AORUS ELITE ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/119baf5812908c1b92fd934720593cb2.256p.jpg","ATX","Intel Z390",128,"DDR4","4","",270,"MOBO"
"Gigabyte Z790 AERO G","https://pcpartpicker.com/product/2MLFf7/gigabyte-z790-aero-g-atx-lga1700-motherboard-z790-aero-g","Gigabyte","Gigabyte Z790 AERO G ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/3c50888138b49e55e085067f364813f7.256p.jpg","ATX","Intel Z790",192,"DDR5","4","",249.99,"MOBO"
"NZXT N7-Z69XT-B1","https://pcpartpicker.com/product/sbgFf7/nzxt-n7-z69xt-b1-atx-lga1700-motherboard-n7-z69xt-b1","NZXT","NZXT N7-Z69XT-B1 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/4d3fd784fe9c5bc4d2fab06ece3e9c10.256p.jpg","ATX","Intel Z690",128,"DDR4","4","",199.99,"MOBO"
"Gigabyte Z890 GAMING X WIFI7","https://pcpartpicker.com/product/6PtLrH/gigabyte-z890-gaming-x-wifi7-atx-lga1851-motherboard-z890-gaming-x-wifi7","Gigabyte","Gigabyte Z890 GAMING X WIFI7 ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/7012206474836b3a572a6ea33a1dd8a2.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",229.99,"MOBO"
"Gigabyte Z590 UD AC","https://pcpartpicker.com/product/CJ8bt6/gigabyte-z590-ud-ac-atx-lga1200-motherboard-z590-ud-ac","Gigabyte","Gigabyte Z590 UD AC ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/d194f5096bf0c5c5abe41aff46406a4e.256p.jpg","ATX","Intel Z590",128,"DDR4","4","",375,"MOBO"
"MSI MEG Z890 UNIFY-X","https://pcpartpicker.com/product/79hv6h/msi-meg-z890-unify-x-atx-lga1851-motherboard-meg-z890-unify-x","MSI","MSI MEG Z890 UNIFY-X ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/b624a2a67511d94c2a3152243d4ba16f.256p.jpg","ATX","Intel Z890",128,"DDR5","2","2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key",662.99,"MOBO"
"Asus PRIME B840M-A WIFI","https://pcpartpicker.com/product/MJVfrH/asus-prime-b840m-a-wifi-micro-atx-am5-motherboard-prime-b840m-a-wifi","Asus","Asus PRIME B840M-A WIFI Micro ATX AM5 Motherboard","AM5","https://m.media-amazon.com/images/I/51Lwu+jT-hL.jpg","Micro ATX","AMD B840",192,"DDR5","4","",280.26,"MOBO"
