"product","product.href","Manufacturer","name","socket","image","form_factor","chipset","max_memory","memory_type","memory_slots","m2_slot","price","category"
"MSI MAG B460M MORTAR","https://pcpartpicker.com/product/VtTzK8/msi-mag-b460m-mortar-micro-atx-lga1200-motherboard-mag-b460m-mortar","MSI","MSI MAG B460M MORTAR Micro ATX LGA1200 Motherboard","LGA1200","https://m.media-amazon.com/images/I/61M3wKC++oL.jpg","Micro ATX","Intel B460",128,"DDR4","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",293.27,"MOBO"
"MSI X370 XPOWER GAMING TITANIUM","https://pcpartpicker.com/product/vgx9TW/msi-x370-xpower-gaming-titanium-atx-am4-motherboard-x370-xpower-gaming-titanium","MSI","MSI X370 XPOWER GAMING TITANIUM ATX AM4 Motherboard","AM4","https://m.media-amazon.com/images/I/61UoWI6En8L.jpg","ATX","AMD X370",64,"DDR4","4","",548.33,"MOBO"
"MSI Z270 GAMING M5","https://pcpartpicker.com/product/D9X2FT/msi-z270-gaming-m5-atx-lga1151-motherboard-z270-gaming-m5","MSI","MSI Z270 GAMING M5 ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/d5dbbdef5a869773980227ae3976a0ea.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",475,"MOBO"
"MSI MPG Z590 GAMING FORCE","https://pcpartpicker.com/product/cNQcCJ/msi-mpg-z590-gaming-force-atx-lga1200-motherboard-mpg-z590-gaming-force","MSI","MSI MPG Z590 GAMING FORCE ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/5242ce48db07728c3e99ee5d821d4e3e.256p.jpg","ATX","Intel Z590",128,"DDR4","4","",400,"MOBO"
"Asus Pro Q670M-C-CSM","https://pcpartpicker.com/product/N7BG3C/asus-pro-q670m-c-csm-micro-atx-lga1700-motherboard-pro-q670m-c-csm","Asus","Asus Pro Q670M-C-CSM Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/2f02443c6f86de9cd54a2c119f40bbe3.256p.jpg","Micro ATX","Intel Q670",128,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",199.99,"MOBO"
"Asus Pro B560M-CT/CSM","https://pcpartpicker.com/product/j7wypg/asus-pro-b560m-ctcsm-micro-atx-lga1200-motherboard-pro-b560m-ctcsm","Asus","Asus Pro B560M-CT/CSM Micro ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/93166b02860fe00d0a46f8da5688e121.256p.jpg","Micro ATX","Intel B560",128,"DDR4","4","2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",219,"MOBO"
"Asus MAXIMUS VIII RANGER","https://pcpartpicker.com/product/gmgPxr/asus-motherboard-maximusviiiranger","Asus","Asus MAXIMUS VIII RANGER ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/633b2c46648f446323583deb4202e2f2.256p.jpg","ATX","Intel Z170",64,"DDR4","4","",548.88,"MOBO"
"Gigabyte Z590 AORUS PRO AX","https://pcpartpicker.com/product/6hytt6/gigabyte-z590-aorus-pro-ax-atx-lga1200-motherboard-z590-aorus-pro-ax","Gigabyte","Gigabyte Z590 AORUS PRO AX ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/96053e69a5efa51f2e859b46b48518c5.256p.jpg","ATX","Intel Z590",128,"DDR4","4","2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2242/2260/2280/22110 M-key",420,"MOBO"
"MSI Z270 PC MATE","https://pcpartpicker.com/product/QrPzK8/msi-z270-pc-mate-atx-lga1151-motherboard-z270-pc-mate","MSI","MSI Z270 PC MATE ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/9fc56f7695347940153f06f7115394d1.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",485,"MOBO"
"ASRock B860 LiveMixer WiFi","https://pcpartpicker.com/product/Zw62FT/asrock-b860-livemixer-wifi-atx-lga1851-motherboard-b860-livemixer-wifi","ASRock","ASRock B860 LiveMixer WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/ab2e9f64ca08b6a89fd07cf58f03de31.256p.jpg","ATX","Intel B860",256,"DDR5","4","",189.99,"MOBO"
