rank,cpu,manufacture,rating,cinebench_r23_single_core,cinebench_r23_multi_core,cores,tdp,boost_tdp,cache_l3
116,Core i5 11400,Intel,45,1343,9623,"6 (6P)",65 W,,12MB
117,Ryzen 7 3700X,AMD,45,1345,12195,"8 (8P)",65 W,,32MB
118,Core i5 11400F,Intel,44,1339,10235,"6 (6P)",65 W,,12MB
119,Core i9 10900,Intel,44,1367,13399,"10 (10P)",65 W,,20MB
120,Core i7 10700KF,Intel,44,1309,12678,"8 (8P)",125 W,,16MB
121,Core i7 10700K,Intel,44,1309,12678,"8 (8P)",125 W,,16MB
122,Ryzen 5 3600XT,AMD,43,1321,9696,"6 (6P)",95 W,,32MB
123,Ryzen 5 3600X,AMD,43,1323,9526,"6 (6P)",95 W,,32MB
124,Core i9 9900K,Intel,43,1343,12470,"8 (8P)",95 W,,16MB
125,Core i5 10600KF,Intel,42,1391,10489,"6 (6P)",125 W,,12MB
126,Core i7 10700F,Intel,42,1255,12250,"8 (8P)",65 W,,16MB
127,Core i5 10600K,Intel,42,1391,10489,"6 (6P)",125 W,,12MB
128,Processor 300,Intel,41,1468,3920,"2 (2P)",46 W,,6MB
129,Core i7 10700,Intel,41,1234,8532,"8 (8P)",65 W,,16MB
130,Core i7 9700K,Intel,41,1285,9428,"8 (8P)",95 W,,12MB
131,Ryzen 5 3600,AMD,41,1298,9501,"6 (6P)",65 W,,32MB
132,Ryzen 5 4500,AMD,40,1211,9305,"6 (6P)",65 W,88 W,8MB
133,Ryzen 3 5300G,AMD,40,1280,8452,"4 (4P)","45-65 W",88 W,8MB
134,Ryzen 5 Pro 4650G,AMD,40,1262,9258,"6 (6P)","45-65 W",,8MB
135,Ryzen 5 4600G,AMD,40,1221,9348,"6 (6P)","45-65 W",,8MB
136,Core i7 8700K,Intel,39,1210,8839,"6 (6P)",95 W,,12MB
137,Core i7 9700,Intel,38,1193,8540,"8 (8P)",65 W,,12MB
138,Core i5 9600K,Intel,37,1187,6596,"6 (6P)",95 W,,9MB
139,Ryzen 7 2700X,AMD,37,1102,10140,"8 (8P)",105 W,,16MB
140,Core i5 10500,Intel,36,1082,8209,"6 (6P)",65 W,,12MB
141,Core i5 10400,Intel,36,1132,7614,"6 (6P)",65 W,,12MB
142,Core i7 7700,Intel,36,1089,5439,"4 (4P)",65 W,,8MB
143,Core i7 8700,Intel,36,1222,7125,"6 (6P)",65 W,,12MB
144,Core i5 8600K,Intel,36,1245,6775,"6 (6P)",95 W,,9MB
145,Ryzen 3 4100,AMD,35,1147,6060,"4 (4P)","45-65 W",65 W,8MB
146,Core i5 10400F,Intel,35,1110,7610,"6 (6P)",65 W,,12MB
147,Core i7 7700K,Intel,35,1216,5902,"4 (4P)",91 W,,8MB
148,Core i3 10105F,Intel,34,1168,5737,"4 (4P)",65 W,,6MB
149,Core i3 10100F,Intel,34,1141,5612,"4 (4P)",65 W,,6MB
150,Ryzen 3 3100,AMD,34,1105,5423,"4 (4P)",65 W,,16MB
151,Core i5 9500,Intel,34,1138,5993,"6 (6P)",65 W,,9MB
152,Ryzen 5 2600X,AMD,34,1094,7523,"6 (6P)",95 W,,16MB
153,Ryzen 7 2700,AMD,34,1057,8947,"8 (8P)",65 W,,16MB
154,Core i7 6700K,Intel,34,1130,5644,"4 (4P)",91 W,,8MB
155,Core i3 10100,Intel,33,1141,5612,"4 (4P)",65 W,,6MB
156,Core i5 10500T,Intel,32,1072,7428,"6 (6P)","25-35 W",,12MB
157,Core i5 8400,Intel,32,1028,5852,"6 (6P)",65 W,,9MB
158,Core i5 8500,Intel,32,1052,5539,"6 (6P)",65 W,,9MB
159,Ryzen 5 2600,AMD,32,1012,7089,"6 (6P)",65 W,,16MB
160,Core i5 9400F,Intel,32,1020,5581,"6 (6P)",65 W,,9MB
161,Ryzen 5 3400G,AMD,31,1068,4810,"4 (4P)","45-65 W",,4MB
162,Core i7 6700,Intel,31,1063,4840,"4 (4P)",65 W,,8MB
163,Core i3 9100F,Intel,30,1057,4155,"4 (4P)",65 W,,6MB
164,Ryzen 5 1600,AMD,30,900,6230,"6 (6P)",65 W,,16MB
165,Core i5 6600K,Intel,30,1041,3965,"4 (4P)",91 W,,6MB
166,Ryzen 5 2400G,AMD,28,1021,4800,"4 (4P)",65 W,,4MB
167,Ryzen 3 3200G,AMD,27,945,3317,"4 (4P)","45-65 W",,4MB
168,Ryzen 3 2200G,AMD,27,942,3587,"4 (4P)",65 W,,4MB
169,Core i5 6500,Intel,27,966,3361,"4 (4P)",65 W,,6MB
170,Core i3 8100,Intel,27,936,3607,"4 (4P)",65 W,,6MB
171,Core i5 7400,Intel,26,928,3380,"4 (4P)",65 W,,6MB
