"name","price","tdp","date","socket","speed","turbo","cores"
"Intel Core i3-12100T",122,35,"2022-03-01","LGA1700",2200,4100,4
"Intel Core i3-12300",143,60,"2022-02-01","LGA1700",3500,4400,4
"Intel Core i3-12300T",157,35,"2022-11-01","LGA1700",2300,4200,4
"Intel Core i3-8100T @ 3.10GHz",219.05,35,"2018-08-01","LGA1151-2",3100,3100,4
"Intel Core i3-8300 @ 3.70GHz",169.97,62,"2018-06-01","LGA1151-2",3700,3700,4
"Intel Core i3-8300T @ 3.20GHz",158.95,25,"2018-06-01","LGA1151-2",3200,3200,4
"Intel Core i3-9100 @ 3.60GHz",99.99,65,"2019-06-01","LGA1151-2",3600,4200,4
"Intel Core i3-9100F @ 3.60GHz",98.99,65,"2019-05-01","LGA1151-2",3600,4200,4
"Intel Core i3-9100T @ 3.10GHz",122,35,"2019-07-01","LGA1151-2",3100,3700,4
"Intel Core i3-9300 @ 3.70GHz",255,62,"2019-07-01","LGA1151-2",3700,4300,4
"Intel Core i3-9300T @ 3.20GHz",143,35,"2019-07-01","LGA1151-2",3200,3800,4
"Intel Core i3-9320 @ 3.70GHz",215.67,62,"2019-09-01","LGA1151-2",3700,4400,4
"Intel Core i3-9350KF @ 4.00GHz",146.07,91,"2019-05-01","LGA1151-2",4000,4600,4
"Intel Core i5-10400 @ 2.90GHz",140.99,65,"2020-05-01","LGA1200",2900,4300,6
"Intel Core i5-10400F @ 2.90GHz",121.09,65,"2020-06-01","LGA1200",2900,4300,6
"Intel Core i5-10400T @ 2.00GHz",182,35,"2020-08-01","LGA1200",2000,3600,6
"Intel Core i5-10500 @ 3.10GHz",195.99,65,"2020-06-01","LGA1200",3100,4500,6
"Intel Core i5-10500T @ 2.30GHz",192,35,"2020-06-01","LGA1200",2300,3800,6
"Intel Core i5-10600 @ 3.30GHz",208.42,65,"2020-06-01","LGA1200",3300,4800,6
"Intel Core i5-10600K @ 4.10GHz",176.92,125,"2020-05-01","LGA1200",4100,4800,6
"Intel Core i5-10600KF @ 4.10GHz",169.99,125,"2020-07-01","LGA1200",4100,4800,6
"Intel Core i5-10600T @ 2.40GHz",213,35,"2020-09-01","LGA1200",2400,4000,6
"Intel Core i5-11400 @ 2.60GHz",144.83,65,"2021-03-01","LGA1200",2600,4400,6
"Intel Core i5-11400F @ 2.60GHz",130,65,"2021-03-01","LGA1200",2600,4400,6
"Intel Core i5-11400T @ 1.30GHz",182,35,"2021-06-01","LGA1200",1300,3700,6
"Intel Core i5-11500 @ 2.70GHz",222.73,65,"2021-04-01","LGA1200",2700,4600,6
"Intel Core i5-11500T @ 1.50GHz",192,35,"2021-09-01","LGA1200",1500,3900,6
"Intel Core i5-11600 @ 2.80GHz",247.98,65,"2021-04-01","LGA1200",2800,4800,6
"Intel Core i5-11600K @ 3.90GHz",214.99,125,"2021-04-01","LGA1200",3900,4900,6
"Intel Core i5-11600KF @ 3.90GHz",196.94,125,"2021-04-01","LGA1200",3900,4900,6
"Intel Core i5-11600T @ 1.70GHz",213,35,"2021-11-01","LGA1200",1700,4100,6
"Intel Core i5-12400",192,65,"2022-01-01","LGA1700",2500,4400,6
"Intel Core i5-12400F",176.45,65,"2022-01-01","LGA1700",2500,4400,6
"Intel Core i5-12400T",169.99,74,"2022-08-01","LGA1700",1800,4200,6
"Intel Core i5-12490F",212.22,65,"2022-06-01","LGA1700",3000,4600,6
"Intel Core i5-12500",202,65,"2022-01-01","LGA1700",3000,4600,6
"Intel Core i5-12500T",202,35,"2022-04-01","LGA1700",2000,4400,6
"Intel Core i5-12600",280.24,65,"2022-01-01","LGA1700",3300,4800,6
"Intel Core i5-12600K",259.99,150,"2021-11-01","LGA1700",3700,4900,6
"Intel Core i5-12600KF",233.99,150,"2021-11-01","LGA1700",3600,4900,6
"Intel Core i5-13600K",319.99,125,"2022-09-01","LGA1700",3500,5200,6
"Intel Core i5-13600KF",309.79,125,"2022-10-01","LGA1700",3500,5100,6
"Intel Core i5-8400T @ 1.70GHz",239.84,35,"2018-05-01","LGA1151-2",1700,3300,6
"Intel Core i5-8500 @ 3.00GHz",138,65,"2018-03-01","LGA1151-2",3000,4100,6
"Intel Core i5-8500T @ 2.10GHz",250.94,35,"2018-04-01","LGA1151-2",2100,3500,6
"Intel Core i5-8600 @ 3.10GHz",174.18,65,"2018-05-01","LGA1151-2",3100,4300,6
"Intel Core i5-8600T @ 2.30GHz",199.99,35,"2018-04-01","LGA1151-2",2300,3700,6
"Intel Core i5-9400 @ 2.90GHz",179.35,65,"2019-03-01","LGA1151-2",2900,4100,6
"Intel Core i5-9400T @ 1.80GHz",182,35,"2019-07-01","LGA1151-2",1800,3400,6
"Intel Core i5-9500 @ 3.00GHz",173.99,65,"2019-05-01","LGA1151-2",3000,4400,6
"Intel Core i5-9500F @ 3.00GHz",186,65,"2019-07-01","LGA1151-2",3000,4400,6
"Intel Core i5-9500T @ 2.20GHz",192,35,"2019-05-01","LGA1151-2",2200,3700,6
"Intel Core i5-9600 @ 3.10GHz",152.41,65,"2019-09-01","LGA1151-2",3100,4600,6
"Intel Core i5-9600K @ 3.70GHz",209.99,95,"2018-10-01","LGA1151-2",3700,4600,6
"Intel Core i5-9600KF @ 3.70GHz",166.02,95,"2019-05-01","LGA1151-2",3700,4600,6
"Intel Core i5-9600T @ 2.30GHz",213,35,"2019-11-01","LGA1151-2",2300,3900,6
"Intel Core i7-10700 @ 2.90GHz",266.61,65,"2020-06-01","LGA1200",2900,4800,8
"Intel Core i7-10700F @ 2.90GHz",260.46,65,"2020-07-01","LGA1200",2900,4800,8
"Intel Core i7-10700K @ 3.80GHz",269.99,125,"2020-05-01","LGA1200",3800,5100,8
"Intel Core i7-10700KF @ 3.80GHz",308,125,"2020-06-01","LGA1200",3800,5100,8
"Intel Core i7-10700T @ 2.00GHz",413.99,35,"2020-07-01","LGA1200",2000,4500,8
"Intel Core i7-11700 @ 2.50GHz",299.99,95,"2021-01-01","LGA1200",2500,4400,8
"Intel Core i7-11700F @ 2.50GHz",270.75,65,"2021-04-01","LGA1200",2500,4900,8
"Intel Core i7-11700K @ 3.60GHz",289,125,"2020-12-01","LGA1200",3600,5000,8
"Intel Core i7-11700KF @ 3.60GHz",309.99,125,"2021-03-01","LGA1200",3600,5000,8
