name,price,image,category,specifications,uid
AMD Ryzen 7 2700X,128.86,,CPU,"{'tdp': 105, 'date': '2018-04-01', 'socket': 'AM4', 'speed': 3700, 'turbo': 4300, 'cores': 8}",0ab10207-821c-435a-954d-13d040385a59
AMD Ryzen 7 3700X,260.0,,CPU,"{'tdp': 65, 'date': '2019-07-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 4400, 'cores': 8}",d69a862e-c09c-4679-8a11-af39c8dc9292
AMD Ryzen 7 3800X,291.0,,CPU,"{'tdp': 105, 'date': '2019-07-01', 'socket': 'AM4', 'speed': 3900, 'turbo': 4500, 'cores': 8}",2bb2a490-98d8-4435-949c-cfbcf6a2d9ae
AMD Ryzen 7 3800XT,450.0,,CPU,"{'tdp': 105, 'date': '2020-07-01', 'socket': 'AM4', 'speed': 3900, 'turbo': 4700, 'cores': 8}",f7519038-50d2-4e6d-8504-d71a01324531
AMD Ryzen 7 4700G,237.3,,CPU,"{'tdp': 65, 'date': '2020-09-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 4400, 'cores': 8}",c42837e7-c829-45cc-baa0-819ec5e1bf57
AMD Ryzen 7 5700G,178.61,,CPU,"{'tdp': 65, 'date': '2021-05-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4600, 'cores': 8}",9ef42445-3c7a-4c26-8440-09d263691456
AMD Ryzen 7 5700X,199.99,,CPU,"{'tdp': 65, 'date': '2022-04-01', 'socket': 'AM4', 'speed': 3400, 'turbo': 4600, 'cores': 8}",3140ffa3-6d4e-42a7-8d71-c3131a880466
AMD Ryzen 7 5800X,239.99,,CPU,"{'tdp': 105, 'date': '2020-11-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4700, 'cores': 8}",feee9a68-b813-4f6f-a74b-ea91966112a9
AMD Ryzen 7 5800X3D,366.0,,CPU,"{'tdp': 105, 'date': '2022-04-01', 'socket': 'AM4', 'speed': 3400, 'turbo': 4500, 'cores': 8}",2e84a25d-3998-4637-8ba6-348610a5aa12
AMD Ryzen 7 7700X,340.01,,CPU,"{'tdp': 105, 'date': '2022-10-01', 'socket': 'AM5', 'speed': 4500, 'turbo': 5400, 'cores': 8}",5b72c45e-0f0e-439a-97d2-33c052b4b374
AMD Ryzen 7 PRO 3700,329.99,,CPU,"{'tdp': 65, 'date': '2019-09-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 4400, 'cores': 8}",7c70cdef-148e-45de-9a73-f579b34bb501
AMD Ryzen 7 PRO 4750G,259.99,,CPU,"{'tdp': 65, 'date': '2020-07-01', 'socket': 'AM4', 'speed': 3600, 'turbo': 4400, 'cores': 8}",a09a1ddd-b7a3-4191-9202-fd7744f84925
AMD Ryzen 9 3900,504.74,,CPU,"{'tdp': 65, 'date': '2019-10-01', 'socket': 'AM4', 'speed': 3100, 'turbo': 4300, 'cores': 12}",e4627833-7083-496b-a9ef-8bdce8253070
AMD Ryzen 9 3900X,380.0,,CPU,"{'tdp': 105, 'date': '2019-07-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4600, 'cores': 12}",a954ce3d-032e-494e-8cfd-6996880692ea
AMD Ryzen 9 3900XT,369.99,,CPU,"{'tdp': 105, 'date': '2020-07-01', 'socket': 'AM4', 'speed': 3800, 'turbo': 4700, 'cores': 12}",1f4639e1-c509-437d-99c9-84b5d87d5148
AMD Ryzen 9 3950X,541.3,,CPU,"{'tdp': 105, 'date': '2019-11-01', 'socket': 'AM4', 'speed': 3500, 'turbo': 4700, 'cores': 16}",2d1951b2-b20c-4bd8-a0ed-d9e8c7b49075
AMD Ryzen 9 5900X,340.0,,CPU,"{'tdp': 105, 'date': '2020-11-01', 'socket': 'AM4', 'speed': 3700, 'turbo': 4800, 'cores': 12}",d9d23522-1af3-469d-bfb5-4b505565cc77
AMD Ryzen 9 5950X,498.99,,CPU,"{'tdp': 105, 'date': '2020-10-01', 'socket': 'AM4', 'speed': 3400, 'turbo': 4900, 'cores': 16}",01592a01-64f3-4300-8f6e-aa373689458e
AMD Ryzen 9 7900X,439.99,,CPU,"{'tdp': 170, 'date': '2022-09-01', 'socket': 'AM5', 'speed': 4700, 'turbo': 5600, 'cores': 12}",4000ec3e-8536-4189-965b-a81126fe6d89
AMD Ryzen 9 7950X,573.84,,CPU,"{'tdp': 170, 'date': '2022-09-01', 'socket': 'AM5', 'speed': 4500, 'turbo': 5700, 'cores': 16}",2bf9cb04-0d39-4906-9edb-81e8879bfad2
Intel Celeron G4900 @ 3.10GHz,86.38,,CPU,"{'tdp': 54, 'date': '2018-06-01', 'socket': 'LGA1151-2', 'speed': 3100, 'turbo': 3100, 'cores': 2}",a708fa53-27bc-43cb-bc7a-15e15d5e0fcc
Intel Celeron G4900T @ 2.90GHz,68.95,,CPU,"{'tdp': 35, 'date': '2018-03-01', 'socket': 'LGA1151-2', 'speed': 2900, 'turbo': 2900, 'cores': 2}",009bb393-42a9-40cb-8a73-9e9a15b44672
Intel Celeron G4920 @ 3.20GHz,126.89,,CPU,"{'tdp': 54, 'date': '2018-08-01', 'socket': 'LGA1151-2', 'speed': 3200, 'turbo': 3200, 'cores': 2}",7abccdbf-634e-4a38-ab20-5683d265127e
