"","name","price","socket","form_factor","max_memory","memory_slots","color"
"290","ASRock B650E STEEL LEGEND WIFI",199.99,"AM5","ATX",192,4,"Black / Silver"
"291","ASRock B760 Pro RS/D4",149.5,"LGA1700","ATX",128,4,"Silver / Black"
"292","MSI PRO B760M-P",141.53,"LGA1700","Micro ATX",192,4,"Black"
"293","MSI MEG Z690 UNIFY",199.99,"LGA1700","ATX",192,4,"Black / Silver"
"294","Asus PRIME A520M-K",97.85,"AM4","Micro ATX",64,2,"Black / Silver"
"295","MSI PRO X670-P WIFI",349.99,"AM5","ATX",192,4,"Black / White"
"296","Asus ROG STRIX B760-F GAMING WIFI",247.94,"LGA1700","ATX",192,4,"Black"
"297","Asus PRIME Z790M-PLUS",196.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"298","ASRock Z690M Phantom Gaming 4",99.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"299","ASRock H610M-HDV/M.2+ D5",98.4,"LGA1700","Micro ATX",96,2,"White / Black"
"300","ASRock B760M-ITX/D4 WiFi",148.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"301","MSI MAG B560M MORTAR WIFI",240.28,"LGA1200","Micro ATX",128,4,"Black / White"
"302","MSI MPG X570 GAMING EDGE WIFI",299,"AM4","ATX",128,4,"Black / Silver"
"303","Asus TUF GAMING X670E-PLUS",353.13,"AM5","ATX",192,4,"Black / Orange"
"304","Asus TUF GAMING B660-PLUS WIFI D4",215.81,"LGA1700","ATX",128,4,"Yellow / Black"
"305","MSI MAG Z790 TOMAHAWK WIFI DDR4",265.75,"LGA1700","ATX",128,4,"Black"
"306","Asus PRIME B550M-K",114.97,"AM4","Micro ATX",128,4,"Black / White"
"307","ASRock X570 Phantom Gaming-ITX/TB3",299,"AM4","Mini ITX",64,2,"Black / Silver"
"308","MSI MPG Z690 EDGE WIFI DDR4",369,"LGA1700","ATX",128,4,"Black / Gray"
"309","Asus PROART B650-CREATOR",229.99,"AM5","ATX",192,4,"Black / Copper"
"310","Gigabyte B450 I AORUS PRO WIFI",195.03,"AM4","Mini ITX",64,2,"Black / Silver"
"311","MSI PRO Z790-A WIFI DDR4",194.99,"LGA1700","ATX",128,4,"Black / Silver"
"312","ASRock B760 Pro RS",149.99,"LGA1700","ATX",192,4,"Silver / Black"
"313","ASRock X670E Pro RS",219.99,"AM5","ATX",192,4,"Black"
"314","Gigabyte B760I AORUS PRO DDR4",189.99,"LGA1700","Mini ITX",64,2,"Black / Gray"
"315","Asus PRIME B450M-A",207.5,"AM4","Micro ATX",64,4,"Black"
"316","Asus TUF GAMING X570-PRO WIFI II",NA,"AM4","ATX",128,4,"Black"
"317","Gigabyte A620M GAMING X",119.99,"AM5","Micro ATX",192,4,"Brown / Gray"
"318","Asus PRIME B450-PLUS",130.96,"AM4","ATX",64,4,"Black / Silver"
"319","Asus ROG STRIX Z370-E GAMING",NA,"LGA1151-2","ATX",64,4,"Black / Silver"
"320","Gigabyte B760M D3H",144.99,"LGA1700","Micro ATX",192,4,"Black / Gray"
"321","Gigabyte Z790 AORUS MASTER X",499.99,"LGA1700","EATX",192,4,"Black"
"322","ASRock X570 Phantom Gaming 4S",3939.77,"AM4","ATX",128,4,"Black"
"323","ASRock Z790M-ITX WIFI",229.99,"LGA1700","Mini ITX",96,2,"Black"
"324","Asus TUF GAMING B450-PLUS II",135.58,"AM4","ATX",128,4,"Black"
"325","Gigabyte A620M GAMING X AX",127.55,"AM5","Micro ATX",192,4,"Brown / Gray"
"326","ASRock H670M-ITX/ax",165.99,"LGA1700","Mini ITX",64,2,"Silver / Black"
"327","Gigabyte B760 DS3H AC DDR4",139.99,"LGA1700","ATX",128,4,"Black"
"328","Asus ROG STRIX Z390-E GAMING",365,"LGA1151-2","ATX",128,4,"Black"
"329","Asus ROG STRIX B760-A GAMING WIFI D4",214.99,"LGA1700","ATX",128,4,"Silver / Black"
"330","Asus PRIME Z790-P WIFI D4",219.99,"LGA1700","ATX",128,4,"Black / Silver"
"331","ASRock Z690 Phantom Gaming-ITX/TB4",194.99,"LGA1700","Mini ITX",96,2,"Black / Red"
"332","Asus ROG STRIX B550-F GAMING (WI-FI)",329,"AM4","ATX",128,4,"Black"
"333","MSI MPG Z490 GAMING EDGE WIFI",NA,"LGA1200","ATX",128,4,"Black / Silver"
"334","Gigabyte Z790 AORUS PRO X WIFI7",349.99,"LGA1700","ATX",192,4,"Black"
"335","MSI MPG B760M EDGE TI WIFI",229.99,"LGA1700","Micro ATX",192,4,"Silver / Black"
"336","Gigabyte B450 AORUS PRO WIFI (rev. 1.0)",237.26,"AM4","ATX",64,4,"Black / Silver"
"337","Asus ROG STRIX B660-I GAMING WIFI",NA,"LGA1700","Mini ITX",96,2,"Black / Silver"
"338","ASRock Z790 Nova WiFi",NA,"LGA1700","ATX",192,4,"Black"
"339","Asus ROG STRIX B550-I GAMING",NA,"AM4","Mini ITX",64,2,"Black"
"340","Asus TUF GAMING B760M-PLUS WIFI D4",256.25,"LGA1700","Micro ATX",128,4,"Black / Orange"
"341","Asus PRIME B650M-A AX II",159.99,"AM5","Micro ATX",192,4,"Black / Silver"
"342","ASRock Z790 Steel Legend WiFi",229.99,"LGA1700","ATX",192,4,"Silver / Black"
"343","Gigabyte Z790I AORUS ULTRA",289.99,"LGA1700","Mini ITX",96,2,"Silver / Black"
"344","ASRock Z790 PRO RS WIFI",187.99,"LGA1700","ATX",192,4,"Silver / Black"
"345","Gigabyte B650E AORUS MASTER",448.02,"AM5","ATX",192,4,"Black / Silver"
"346","Gigabyte H510M S2H V3",90.41,"LGA1200","Micro ATX",64,2,"Gray / Black"
"347","Asus PRIME H510M-E",114.99,"LGA1200","Micro ATX",64,2,"Silver / Black"
"348","Gigabyte Z790 D AC",184.99,"LGA1700","ATX",192,4,"Gray / Black"
"349","Gigabyte X570 AORUS ELITE WIFI",319.99,"AM4","ATX",128,4,"Black"
"350","MSI MPG Z390 GAMING EDGE AC",399.99,"LGA1151-2","ATX",128,4,"Black / Silver"
"351","Gigabyte B760 GAMING X DDR4",NA,"LGA1700","ATX",128,4,"Black"
"352","MSI B450-A PRO MAX",144.97,"AM4","ATX",64,4,"Brown / Black"
"353","Asus PRIME X570-PRO",458.71,"AM4","ATX",128,4,"Black / White"
"354","Gigabyte B760M DS3H AX DDR4",164.58,"LGA1700","Micro ATX",128,4,"Black"
"355","Gigabyte B450 AORUS M",153.9,"AM4","Micro ATX",64,4,"Black / Gray"
"356","Asus PRIME H610M-A WIFI D4",152.14,"LGA1700","Micro ATX",64,2,"Black / Silver"
"357","MSI MEG Z790 ACE",469.99,"LGA1700","EATX",192,4,"Gold / Black"
"358","Gigabyte X570SI AORUS PRO AX",NA,"AM4","Mini ITX",64,2,"Black / Silver"
"359","MSI MPG X570 GAMING PLUS",NA,"AM4","ATX",128,4,"Black / Red"
"360","ASRock Z790 PG Lightning/D4",230.02,"LGA1700","ATX",128,4,"Black"
"361","MSI B450 TOMAHAWK MAX II",NA,"AM4","ATX",128,4,"Black / Silver"
"362","Gigabyte GA-A320M-S2H",NA,"AM4","Micro ATX",64,2,"Black"
"363","ASRock A620M-HDV/M.2",109.99,"AM5","Micro ATX",96,2,"Gray / Black"
"364","MSI X470 GAMING PLUS MAX",199.99,"AM4","ATX",64,4,"Black"
"365","ASRock X570 Phantom Gaming 4 WiFi ax",129.99,"AM4","ATX",128,4,"Black"
"366","ASRock B450 Pro4 R2.0",115.56,"AM4","ATX",128,4,"Black"
"367","Asus TUF GAMING B550M-PLUS",NA,"AM4","Micro ATX",128,4,"Black"
"368","Asus ROG CROSSHAIR X670E EXTREME",NA,"AM5","EATX",192,4,"Black / Silver"
"369","MSI A320M-A PRO MAX",NA,"AM4","Micro ATX",32,2,"Black"
"370","Gigabyte Z690 AORUS ELITE AX DDR4",258.99,"LGA1700","ATX",128,4,"Black / Silver"
"371","Asus ROG Strix X570-I Gaming",539,"AM4","Mini ITX",64,2,"Black"
"372","Gigabyte A520 AORUS ELITE",119.02,"AM4","ATX",128,4,"Black / Orange"
"373","ASRock B650M PG RIPTIDE",185.33,"AM5","Micro ATX",192,4,"Black"
"374","ASRock B760M PG Lightning Wifi",NA,"LGA1700","Micro ATX",192,4,"Black"
"375","Asus ROG STRIX Z690-F GAMING WIFI",326,"LGA1700","ATX",192,4,"Black / Silver"
"376","ASRock Z790 PG LIGHTNING",209.99,"LGA1700","ATX",192,4,"Black"
"377","Asus PRIME B660M-K D4",113.92,"LGA1700","Micro ATX",64,2,"Silver / Black"
"378","Gigabyte B650 AORUS PRO AX",366.85,"AM5","ATX",192,4,"Black"
"379","Gigabyte B760 DS3H AC",154.99,"LGA1700","ATX",192,4,"Gray / Black"
"380","Gigabyte B760M AORUS ELITE X AX",NA,"LGA1700","Micro ATX",192,4,"White / Silver"
"381","Asus PRIME Z690-P WIFI",179.99,"LGA1700","ATX",192,4,"Silver / Black"
"382","Gigabyte B450 AORUS ELITE",158.9,"AM4","ATX",64,4,"Black / Silver"
"383","ASRock A320M-HDV R4.0",NA,"AM4","Micro ATX",32,2,"Black / White"
"384","Asus ROG STRIX Z790-A GAMING WIFI",337.25,"LGA1700","ATX",192,4,"Silver / Black"
"385","MSI MEG Z790 GODLIKE",1151.43,"LGA1700","EATX",192,4,"Black"
"386","MSI MPG Z790 CARBON MAX WIFI II",469.99,"LGA1700","ATX",256,4,"Black"
"387","Asus PRIME B760M-A AX",NA,"LGA1700","Micro ATX",128,4,"Silver / Black"
"388","Asus TUF GAMING B450M-PLUS II",142.43,"AM4","Micro ATX",128,4,"Black"
"389","Gigabyte B650 AERO G",259.99,"AM5","ATX",192,4,"Black / Silver"
"390","ASRock B550M Phantom Gaming 4",104.99,"AM4","Micro ATX",128,4,"Black"
"391","Gigabyte X570 AORUS ELITE",NA,"AM4","ATX",128,4,"Black / Silver"
"392","MSI MAG X570 TOMAHAWK WIFI",NA,"AM4","ATX",128,4,"Black"
"393","Asus ROG STRIX B660-A GAMING WIFI D4",219.99,"LGA1700","ATX",128,4,"Silver / Black"
"394","Gigabyte B760M GAMING X AX DDR4",192.6,"LGA1700","Micro ATX",128,4,"Black"
"395","ASRock B660M-ITX/ac",NA,"LGA1700","Mini ITX",64,2,"Silver / Black"
"396","Asus PRIME B760-PLUS D4",NA,"LGA1700","ATX",128,4,"Silver / Black"
"397","Asus PRIME X570-P",288.29,"AM4","ATX",128,4,"Black / White"
"398","MSI MAG B550M MORTAR WIFI",289.8,"AM4","Micro ATX",128,4,"Silver / Black"
"399","Gigabyte Z790 AERO G",259.99,"LGA1700","ATX",192,4,""
"400","MSI PRO B760-P DDR4 II",171.45,"LGA1700","ATX",128,4,"Black"
"401","Asus TUF GAMING Z690-PLUS WIFI D4",NA,"LGA1700","ATX",128,4,"Black / Silver"
"402","ASRock B760 Pro RS WiFi",NA,"LGA1700","ATX",192,4,"Black / Silver"
"403","Gigabyte B650M GAMING WIFI",NA,"AM5","Micro ATX",96,2,"Black / Silver"
"404","ASRock X570 Steel Legend",139.99,"AM4","ATX",128,4,"Black / Silver"
"405","Asus TUF GAMING X570-PLUS",289.86,"AM4","ATX",128,4,"Black / Gold"
"406","MSI MPG B550 GAMING EDGE WIFI",NA,"AM4","ATX",128,4,"Black / Silver"
"407","Gigabyte B650M GAMING PLUS WF",159.99,"AM5","Micro ATX",192,4,"Silver / Black"
"408","MSI B560M PRO-E",133.99,"LGA1200","Micro ATX",64,2,"Black"
"409","Asus ROG Strix X570-E Gaming",609,"AM4","ATX",128,4,"Black"
"410","ASRock A320M-DVS R4.0",NA,"AM4","Micro ATX",32,2,"Black / Silver"
"411","Gigabyte H410M S2H V2",86.14,"LGA1200","Micro ATX",64,2,"Black / Gray"
"412","Asus TUF GAMING B660M-PLUS WIFI",234.86,"LGA1700","Micro ATX",192,4,"Yellow / Black"
"413","Gigabyte H610M K DDR4",97.98,"LGA1700","Micro ATX",64,2,"Black"
"414","Gigabyte B560M DS3H AC",NA,"LGA1200","Micro ATX",128,4,"Black"
"415","ASRock B650M PG Lightning",NA,"AM5","Micro ATX",192,4,"Silver / Black"
"416","MSI B350 TOMAHAWK ARCTIC",NA,"AM4","ATX",64,4,"White"
"417","MSI Z370-A PRO",NA,"LGA1151-2","ATX",64,4,"Brown / Black"
"418","ASRock X570S PG Riptide",139.99,"AM4","ATX",128,4,"Black"
"419","Gigabyte B660M DS3H AX DDR4",NA,"LGA1700","Micro ATX",128,4,"Black"
"420","Asus ProArt B760-CREATOR WIFI",219.99,"LGA1700","ATX",192,4,"Black"
"421","MSI B350M BAZOOKA",160,"AM4","Micro ATX",64,4,"Black / White"
"422","Asus ROG STRIX Z490-E GAMING",478.66,"LGA1200","ATX",128,4,"Black"
"423","Gigabyte H610M S2H V3 DDR4",NA,"LGA1700","Micro ATX",64,2,"Black / Silver"
"424","ASRock H610M-ITX/eDP",108.97,"LGA1700","Mini ITX",64,2,"Silver / Black"
"425","MSI PRO Z690-A DDR4",189.99,"LGA1700","ATX",128,4,"Black / Silver"
"426","Asus Prime X470-Pro",NA,"AM4","ATX",64,4,"Black / White"
"427","ASRock X570 Steel Legend WiFi ax",149.99,"AM4","ATX",128,4,"Black / Silver"
"428","Gigabyte Z390 UD",209.99,"LGA1151-2","ATX",128,4,"Black / Silver"
"429","Gigabyte Z790 UD AX",266.58,"LGA1700","ATX",192,4,"Black"
"430","MSI B460M PRO-VDH WIFI",NA,"LGA1200","Micro ATX",128,4,"Black"
"431","Asus TUF GAMING B760M-PLUS WIFI",189.99,"LGA1700","Micro ATX",192,4,"Black / Orange"
"432","NZXT N7 B550",NA,"AM4","ATX",128,4,"Black"
"433","ASRock B550 Steel Legend",155,"AM4","ATX",128,4,"Silver / Black"
"434","Asus ROG STRIX B760-G GAMING WIFI",NA,"LGA1700","Micro ATX",192,4,"Silver / Black"
"435","ASRock Z790 Taichi Carrara",389.99,"LGA1700","EATX",192,4,"White / Black"
"436","Asus TUF GAMING B760-PLUS WIFI D4",209.8,"LGA1700","ATX",192,4,"Black / Orange"
"437","Asus PRIME Z790M-PLUS D4",193,"LGA1700","Micro ATX",128,4,"Black / Silver"
"438","MSI A320M-A PRO",NA,"AM4","Micro ATX",64,2,"Black"
"439","MSI MAG X570S TOMAHAWK MAX WIFI",NA,"AM4","ATX",128,4,"Black"
"440","ASRock Z690M PG RIPTIDE/D5",NA,"LGA1700","Micro ATX",192,4,"Black / Silver"
"441","ASRock B560 Steel Legend",NA,"LGA1200","ATX",128,4,"Silver / Black"
"442","ASRock X570 Taichi",212.99,"AM4","ATX",128,4,"Black / Silver"
"443","MSI MPG Z490 GAMING PLUS",NA,"LGA1200","ATX",128,4,"Black / Silver"
"444","ASRock Z790 PG-ITX/TB4",369.2,"LGA1700","Mini ITX",96,2,"Black"
"445","Asus TUF GAMING H570-PRO WIFI",284.99,"LGA1200","ATX",128,4,"Black / Silver"
"446","MSI B450M GAMING PLUS",NA,"AM4","Micro ATX",64,2,"Black / Red"
"447","Asus PRIME B550M-A",107.86,"AM4","Micro ATX",128,4,"Black / White"
"448","Gigabyte H610I DDR4",184.22,"LGA1700","Mini ITX",64,2,"Black / Gray"
"449","Asus PRIME B550M-A AC",100,"AM4","Micro ATX",128,4,"Black / Silver"
"450","Gigabyte Z790 AORUS ELITE AX DDR4",224,"LGA1700","ATX",128,4,"Black"
"451","Asus TUF GAMING B560M-PLUS WIFI",NA,"LGA1200","Micro ATX",128,4,"Gold / Black"
"452","MSI B450M MORTAR MAX",NA,"AM4","Micro ATX",128,4,"Black"
"453","Asus ROG MAXIMUS Z690 HERO",499,"LGA1700","ATX",192,4,"Black / Silver"
"454","Asus ROG MAXIMUS Z790 HERO EVA-02 EDITION",NA,"LGA1700","ATX",192,4,"Red / Black"
"455","MSI MPG Z390 GAMING PLUS",NA,"LGA1151-2","ATX",128,4,"Black / Red"
"456","ASRock Z790 PG SONIC",189.99,"LGA1700","ATX",192,4,"Black / Blue"
"457","ASRock X570 Pro4",129.99,"AM4","ATX",128,4,"Black / Silver"
"458","Asus PRIME Z790-V AX",NA,"LGA1700","ATX",192,4,"Silver / Black"
"459","Asus PRIME A620-PLUS WIFI",NA,"AM5","ATX",192,4,"Silver / Black"
"460","Asus STRIX B350-F GAMING",NA,"AM4","ATX",64,4,"Black"
"461","Asus ROG MAXIMUS Z690 FORMULA",459.25,"LGA1700","ATX",192,4,"Silver / Black"
"462","Gigabyte B450M S2H",NA,"AM4","Micro ATX",32,2,"Black"
"463","Asus TUF GAMING B650-E WIFI",189.99,"AM5","ATX",192,4,"Black / Orange"
"464","Asus PRIME Z690-A",258.99,"LGA1700","ATX",192,4,"Silver / Black"
"465","Gigabyte A620M DS3H",142.63,"AM5","Micro ATX",192,4,"Gray / Black"
"466","Asus PRIME A620M-A-CSM",129.99,"AM5","Micro ATX",192,4,"Silver / Black"
"467","MSI B550M PRO-VDH",127.38,"AM4","Micro ATX",128,4,"Black"
"468","Asus ROG Crosshair VIII Hero (WI-FI)",719,"AM4","ATX",128,4,"Black"
"469","Asus PRIME Z690-P D4",309.27,"LGA1700","ATX",128,4,"Silver / Black"
"470","Asus ROG STRIX B550-E GAMING",235,"AM4","ATX",128,4,"Black"
"471","Asus PRIME B760M-K D4",136.3,"LGA1700","Micro ATX",64,2,"Silver / Black"
"472","MSI MAG B760M MORTAR WIFI",199.99,"LGA1700","Micro ATX",192,4,"Black / Silver"
"473","Asus TUF GAMING B650M-PLUS",230.93,"AM5","Micro ATX",192,4,"Black"
"474","Asus PRIME B550M-K ARGB",NA,"AM4","Micro ATX",64,2,"Black"
"475","ASRock X570 Taichi Razer Edition",235.99,"AM4","ATX",128,4,"Black / Silver"
"476","Asus PRIME A620M-K",NA,"AM5","Micro ATX",96,2,"Black / Silver"
"477","Gigabyte A520M H",83.81,"AM4","Micro ATX",64,2,"Black"
"478","Gigabyte X570 I AORUS PRO WIFI",359,"AM4","Mini ITX",64,2,"Black / Silver"
"479","MSI PRO B660M-A WIFI DDR4",NA,"LGA1700","Micro ATX",128,4,"Black / Silver"
"480","MSI B450 GAMING PRO CARBON AC",NA,"AM4","ATX",64,4,"Black"
"481","NZXT N7-Z69XT-W1",NA,"LGA1700","ATX",128,4,"White / Black"
"482","Asus PRIME B660M-A AC D4",149.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"483","MSI MAG Z690 TOMAHAWK WIFI",255,"LGA1700","ATX",192,4,"Black / Silver"
"484","Asus TUF Gaming Z590-PLUS WIFI",NA,"LGA1200","ATX",128,4,"Silver / Black"
"485","Gigabyte H610M S2H",94.99,"LGA1700","Micro ATX",64,2,"Brown / Silver"
"486","Asus Strix B550-XE Gaming WiFi",219.99,"AM4","ATX",128,4,"Black"
"487","MSI MAG B660M MORTAR WIFI DDR4",NA,"LGA1700","Micro ATX",128,4,"Silver / Black"
"488","Asus TUF GAMING A620M-PLUS",166.28,"AM5","Micro ATX",192,4,"Black / Orange"
"489","MSI MPG Z690 CARBON WIFI",440,"LGA1700","ATX",192,4,"Black / Silver"
"490","MSI H310M PRO-VDH PLUS",149.9,"LGA1151-2","Micro ATX",32,2,"Black"
"491","ASRock Z690 Taichi",209.99,"LGA1700","ATX",192,4,"Black / Copper"
"492","ASRock X570 Phantom Gaming 4",198,"AM4","ATX",128,4,"Black / Silver"
"493","Gigabyte B760M GAMING X DDR4",166.82,"LGA1700","Micro ATX",128,4,"Black"
"494","ASRock B450 Pro4",145,"AM4","ATX",64,4,"Black / Silver"
"495","MSI X570-A PRO",NA,"AM4","ATX",128,4,"Black / Silver"
"496","MSI B350 TOMAHAWK",NA,"AM4","ATX",64,4,"Black / Red"
"497","Asus ROG MAXIMUS Z790 EXTREME",NA,"LGA1700","EATX",192,4,"Black"
"498","Gigabyte B760 DS3H AX DDR4",154.99,"LGA1700","ATX",128,4,"Black"
"499","MSI B550M-A PRO",NA,"AM4","Micro ATX",64,2,"Black"
"500","Gigabyte B550 VISION D-P",NA,"AM4","ATX",128,4,"White / Black"
"501","Asus Prime Z370-A",NA,"LGA1151-2","ATX",64,4,"Black / Silver"
"502","MSI B450 GAMING PRO CARBON MAX WIFI",NA,"AM4","ATX",128,4,"Black"
"503","Gigabyte Z690 GAMING X DDR4",229.99,"LGA1700","ATX",128,4,"Black / Gray"
"504","Asus PRIME B550M-A/CSM",116.99,"AM4","Micro ATX",128,4,"Black / White"
"505","Asus ROG Strix X570-F Gaming",345,"AM4","ATX",128,4,"Black"
"506","ASRock B550M-C",NA,"AM4","Micro ATX",128,4,"Black / Silver"
"507","ASRock A620M-HDV/M.2+",127.12,"AM5","Micro ATX",96,2,"Gray / Black"
"508","MSI MPG Z390 GAMING PRO CARBON",279.66,"LGA1151-2","ATX",128,4,"Black / Silver"
"509","Gigabyte B760M DS3H",168.8,"LGA1700","Micro ATX",192,4,"Black / Silver"
"510","Gigabyte B660M DS3H DDR4",NA,"LGA1700","Micro ATX",128,4,"Black"
"511","MSI PRO B760-VC WIFI",NA,"LGA1700","ATX",192,4,"Black"
"512","Asus PRIME H310M-E R2.0",NA,"LGA1151-2","Micro ATX",32,2,"Black"
"513","Gigabyte H510M H V2",88.92,"LGA1200","Micro ATX",64,2,"Gray / Brown"
"514","Gigabyte B550 AORUS PRO AC",306.39,"AM4","ATX",128,4,"Black / Orange"
"515","Gigabyte Z790 AORUS XTREME X ICE",NA,"LGA1700","EATX",192,4,"White"
"516","ASRock B660M Pro RS/ax",NA,"LGA1700","Micro ATX",128,4,"Silver / Black"
"517","Asus ProArt B550-CREATOR",239.99,"AM4","ATX",128,4,"Black"
"518","NZXT N7-Z69XT-B1",269.99,"LGA1700","ATX",128,4,"Black"
"519","Asus TUF GAMING B760M-PLUS II",NA,"LGA1700","Micro ATX",192,4,"Black"
"520","Gigabyte B760M H DDR4",125.23,"LGA1700","Micro ATX",64,2,"Brown / Gray"
"521","Asus PRIME H770-PLUS D4",159.99,"LGA1700","ATX",128,4,"Silver / Black"
"522","MSI MPG X570 GAMING PRO CARBON WIFI",NA,"AM4","ATX",128,4,"Black / Silver"
"523","Asus TUF GAMING A620-PRO WIFI",NA,"AM5","ATX",192,4,"Black"
"524","MSI PRO B760-P WIFI",169.99,"LGA1700","ATX",192,4,"Black / Silver"
"525","Asus PRIME Z590-A",NA,"LGA1200","ATX",128,4,"Silver / Black"
"526","ASRock B760M Pro RS/D4",129.99,"LGA1700","Micro ATX",128,4,"Silver / Black"
"527","Asus PRIME B360M-A",NA,"LGA1151-2","Micro ATX",64,4,"Silver / Black"
"528","ASRock B650E TAICHI",369.99,"AM5","EATX",192,4,"Black"
"529","Gigabyte X570S AORUS ELITE AX",NA,"AM4","ATX",128,4,"Black / Silver"
"530","Asus PRIME B350-PLUS",NA,"AM4","ATX",64,4,"Black / Red"
"531","MSI X470 GAMING PLUS",NA,"AM4","ATX",64,4,"Red / Black"
"532","Gigabyte GA-AB350-GAMING 3",NA,"AM4","ATX",64,4,"Black / Red"
"533","Gigabyte B650 Gaming X",232.89,"AM5","ATX",192,4,"Black"
"534","Asus PRIME H610M-E D4-CSM",99.99,"LGA1700","Micro ATX",64,2,"Silver / Black"
"535","Gigabyte Z390 GAMING X",269.99,"LGA1151-2","ATX",128,4,"Black / Red"
"536","Gigabyte B760 GAMING X",204.46,"LGA1700","ATX",192,4,"Black / Gray"
"537","MSI MPG B560I GAMING EDGE WIFI",NA,"LGA1200","Mini ITX",64,2,"Black"
"538","MSI MPG Z690 FORCE WIFI",240.04,"LGA1700","ATX",192,4,"Silver / Black"
"539","Asus ROG Crosshair VIII Hero",481.82,"AM4","ATX",128,4,"Black"
"540","Asus TUF Z390-PLUS GAMING (WI-FI)",279,"LGA1151-2","ATX",128,4,"Black / Gold"
"541","Gigabyte Z790 AORUS XTREME",NA,"LGA1700","EATX",192,4,"Black"
"542","MSI B450M PRO-M2 MAX",NA,"AM4","Micro ATX",32,2,"Black"
"543","Gigabyte B550 AORUS ELITE AX",201.91,"AM4","ATX",128,4,"Black"
"544","ASRock Z790 Taichi",379.99,"LGA1700","EATX",192,4,"Black / Gold"
"545","Asus TUF B450-PLUS GAMING",170,"AM4","ATX",64,4,"Black / Gold"
"546","Asus PRIME B560M-A",NA,"LGA1200","Micro ATX",128,4,"Silver / Black"
"547","ASRock B760M PG Lightning/D4",NA,"LGA1700","Micro ATX",128,4,"Black"
"548","MSI H510M-A PRO",NA,"LGA1200","Micro ATX",64,2,"Black"
"549","MSI MAG Z490 TOMAHAWK",355,"LGA1200","ATX",128,4,"Black / Silver"
"550","Gigabyte B760M GAMING X AX",195.21,"LGA1700","Micro ATX",192,4,"Brown / Black"
"551","Gigabyte B650M S2H",184.79,"AM5","Micro ATX",96,2,"Black / Gray"
"552","MSI PRO Z690-P DDR4",169.99,"LGA1700","ATX",128,4,"Black / Silver"
"553","Gigabyte X570 GAMING X",229.99,"AM4","ATX",128,4,"Black / Silver"
"554","MSI PRO B660M-A DDR4",289,"LGA1700","Micro ATX",128,4,"Black / Silver"
"555","ASRock H610M-HDV",89.43,"LGA1700","Micro ATX",64,2,"Gray / Black"
"556","Asus ROG MAXIMUS Z690 APEX",599.95,"LGA1700","ATX",96,2,"Black / Silver"
"557","Asus PRIME B560-PLUS",NA,"LGA1200","ATX",128,4,"Silver / Black"
"558","ASRock Z690 Steel Legend WiFi 6E/D5",189.99,"LGA1700","ATX",192,4,"Silver / Black"
"559","Asus TUF GAMING B660M-PLUS WIFI D4",236.91,"LGA1700","Micro ATX",128,4,"Black / Orange"
"560","MSI Z590-A PRO",NA,"LGA1200","ATX",128,4,"Black"
"561","ASRock B550 Taichi Razer Edition",169.99,"AM4","ATX",128,4,"Black / Silver"
"562","MSI A520M PRO",86,"AM4","Micro ATX",64,2,"Black"
"563","MSI MPG B550I GAMING EDGE WIFI",NA,"AM4","Mini ITX",64,2,"Black / Silver"
"564","Asus ROG STRIX X470-F Gaming",NA,"AM4","ATX",64,4,"Black"
"565","ASRock B760M PG Lightning",NA,"LGA1700","Micro ATX",192,4,"Black"
"566","Asus ROG STRIX Z370-F GAMING",NA,"LGA1151-2","ATX",64,4,"Black / Silver"
"567","Gigabyte X470 AORUS ULTRA GAMING",NA,"AM4","ATX",64,4,"Black / Orange"
"568","Gigabyte B760 DS3H AX",154.99,"LGA1700","ATX",192,4,"Gray / Black"
"569","ASRock H610M-ITX/ac",NA,"LGA1700","Mini ITX",64,2,"Silver / Black"
"570","Asus PRIME B650M-K",NA,"AM5","Micro ATX",96,2,"Silver / Black"
"571","MSI B350M MORTAR ARCTIC",NA,"AM4","Micro ATX",64,4,"White"
"572","Biostar H610MH",119.99,"LGA1700","Micro ATX",64,2,"Gray / Black"
"573","Asus TUF GAMING B550-PLUS (WI-FI)",248.47,"AM4","ATX",128,4,"Black"
"574","ASRock H610M-HDV/M.2",NA,"LGA1700","Micro ATX",64,2,"Gray / Black"
"575","Gigabyte B460M DS3H AC",NA,"LGA1200","Micro ATX",128,4,"Black / Silver"
"576","ASRock A320M/ac",NA,"AM4","Micro ATX",32,2,"White / Black"
"577","Asus Prime Z590-P WiFi",NA,"LGA1200","ATX",128,4,"Black / Silver"
"578","Gigabyte X670 GAMING X AX (rev. 1.0)",307.83,"AM5","ATX",192,4,"Black"
"579","Asus PRIME Z690-P WIFI D4",377.38,"LGA1700","ATX",128,4,"Silver / Black"
"580","Asus TUF GAMING B550M-E WIFI",NA,"AM4","Micro ATX",128,4,"Orange / Black"
"581","Asus PROART B760-CREATOR D4",179.99,"LGA1700","ATX",128,4,"Black / Copper"
"582","MSI PRO B760M-E DDR4",NA,"LGA1700","Micro ATX",64,2,"Black"
"583","Asus ProArt Z690-CREATOR WIFI",689,"LGA1700","ATX",192,4,"Black / Copper"
"584","ASRock B560M-C",NA,"LGA1200","Micro ATX",128,4,"Black"
