"","name","price","socket","form_factor","max_memory","memory_slots","color"
"68","Gigabyte B450M DS3H WIFI",88.98,"AM4","Micro ATX",128,4,"Brown / Black"
"69","Asus TUF GAMING X570-PLUS (WI-FI)",193.99,"AM4","ATX",128,4,"Black / Gold"
"70","ASRock B760M-H/M.2",89.99,"LGA1700","Micro ATX",96,2,"Silver / Black"
"71","Asus TUF GAMING X670E-PLUS WIFI",269.99,"AM5","ATX",192,4,"Black / Orange"
"72","ASRock B650M-HDV/M.2",150.71,"AM5","Micro ATX",96,2,"Silver / Black"
"73","MSI MPG B650I EDGE WIFI",261.33,"AM5","Mini ITX",96,2,"Black / Silver"
"74","Gigabyte B650I AORUS ULTRA",259.99,"AM5","Mini ITX",96,2,"Black / Silver"
"75","Gigabyte B550 GAMING X V2",92.99,"AM4","ATX",128,4,"Black"
"76","MSI X670E GAMING PLUS WIFI",229.99,"AM5","ATX",192,4,"Silver / Black"
"77","ASRock B650M-H/M.2+",99.99,"AM5","Micro ATX",96,2,"Silver / Black"
"78","Asus ROG STRIX Z690-I GAMING WIFI",189.99,"LGA1700","Mini ITX",96,2,"Black / Silver"
"79","Gigabyte B450M K",80,"AM4","Micro ATX",64,2,"Brown / Silver"
"80","Gigabyte Z790 AORUS PRO X",349.99,"LGA1700","ATX",192,4,"Silver"
"81","MSI MAG B550 TOMAHAWK",139.99,"AM4","ATX",128,4,"Black / Silver"
"82","MSI MEG Z790 GODLIKE MAX",1196.99,"LGA1700","EATX",192,4,"Black"
"83","Gigabyte B650 AORUS ELITE AX V2",187.79,"AM5","ATX",192,4,"Black / Silver"
"84","ASRock A520M-HDV",66.98,"AM4","Micro ATX",64,2,"Black / Silver"
"85","MSI B450 Gaming Plus MAX",74.98,"AM4","ATX",128,4,"Red / Black"
"86","ASRock B550M-ITX/ac",129.99,"AM4","Mini ITX",64,2,"Silver / Black"
"87","ASRock B650 Steel Legend WiFi",179.99,"AM5","ATX",192,4,"White / Silver"
"88","Gigabyte A620I AX",139.99,"AM5","Mini ITX",96,2,"Black / Gray"
"89","Asus ROG STRIX Z690-E GAMING WIFI",230.99,"LGA1700","ATX",192,4,"Black"
"90","Asus PRIME X670-P WIFI",209.99,"AM5","ATX",192,4,"Silver / Black"
"91","MSI PRO B760M-P DDR4",99.99,"LGA1700","Micro ATX",128,4,"Black"
"92","Asus ROG CROSSHAIR X670E HERO",639.99,"AM5","ATX",192,4,"Black / Silver"
"93","Asus ROG STRIX Z790-E GAMING WIFI",359.99,"LGA1700","ATX",192,4,"Black"
"94","MSI MAG B760 TOMAHAWK WIFI",179.99,"LGA1700","ATX",192,4,"Black"
"95","Gigabyte H410M H V2",72.91,"LGA1200","Micro ATX",64,2,"Gray / Black"
"96","Asus TUF GAMING Z790-PLUS WIFI",229.99,"LGA1700","ATX",192,4,"Black / Gray"
"97","ASRock X670E Steel Legend",259.99,"AM5","ATX",192,4,"Black / White"
"98","Gigabyte B550I AORUS PRO AX",189.99,"AM4","Mini ITX",64,2,"Black / Silver"
"99","Gigabyte B650M D3HP AX",134.99,"AM5","Micro ATX",192,4,"Black / Gray"
"100","Gigabyte B760M DS3H AX",139.99,"LGA1700","Micro ATX",192,4,"Black"
"101","Gigabyte B550M DS3H AC",108.99,"AM4","Micro ATX",128,4,"Black"
"102","Gigabyte Z790 AORUS ELITE X WIFI7",279.99,"LGA1700","ATX",192,4,"Black"
"103","Asus PRIME Z790-P WIFI",189.99,"LGA1700","ATX",192,4,"Black / Silver"
"104","NZXT N7 B650E",249.99,"AM5","ATX",128,4,"Black"
"105","Asus ProArt X670E-CREATOR WIFI",424.99,"AM5","ATX",192,4,"Black / Copper"
"106","MSI B450 TOMAHAWK MAX",NA,"AM4","ATX",128,4,"Black"
"107","Gigabyte X670 AORUS ELITE AX (rev. 1.0)",269.99,"AM5","ATX",192,4,"Black"
"108","ASRock A620M Pro RS WiFi",177.85,"AM5","Micro ATX",192,4,"Silver / Black"
"109","ASRock B450M PRO4 R2.0",80.15,"AM4","Micro ATX",128,4,"Gray / Black"
