keyword,country
Intel Core i5-12600K,br
Intel Core i5-12600KF,br
Intel Core i5-12600T,br
Intel Core i5-13400,br
Intel Core i5-13500,br
Intel Core i5-13600K,br
Intel Core i5-13600KF,br
Intel Core i5-8400T @ 1.70GHz,br
Intel Core i5-8500 @ 3.00GHz,br
Intel Core i5-8500T @ 2.10GHz,br
Intel Core i5-8600 @ 3.10GHz,br
Intel Core i5-8600T @ 2.30GHz,br
Intel Core i5-9400 @ 2.90GHz,br
Intel Core i5-9400T @ 1.80GHz,br
Intel Core i5-9500 @ 3.00GHz,br
Intel Core i5-9500F @ 3.00GHz,br
Intel Core i5-9500T @ 2.20GHz,br
Intel Core i5-9600 @ 3.10GHz,br
Intel Core i5-9600K @ 3.70GHz,br
Intel Core i5-9600KF @ 3.70GHz,br
Intel Core i5-9600T @ 2.30GHz,br
Intel Core i7-10700 @ 2.90GHz,br
Intel Core i7-10700F @ 2.90GHz,br
Intel Core i7-10700K @ 3.80GHz,br
Intel Core i7-10700KF @ 3.80GHz,br
Intel Core i7-10700T @ 2.00GHz,br
Intel Core i7-11700 @ 2.50GHz,br
Intel Core i7-11700F @ 2.50GHz,br
Intel Core i7-11700K @ 3.60GHz,br
Intel Core i7-11700KF @ 3.60GHz,br
Intel Core i7-11700T @ 1.40GHz,br
Intel Core i7-12700,br
Intel Core i7-12700F,br
Intel Core i7-12700K,br
Intel Core i7-12700KF,br
Intel Core i7-12700T,br
Intel Core i7-13700,br
Intel Core i7-13700K,br
Intel Core i7-13700KF,br
Intel Core i7-8086K @ 4.00GHz,br
Intel Core i7-8700T @ 2.40GHz,br
Intel Core i7-9700 @ 3.00GHz,br
Intel Core i7-9700E @ 2.60GHz,br
Intel Core i7-9700F @ 3.00GHz,br
Intel Core i7-9700K @ 3.60GHz,br
Intel Core i7-9700KF @ 3.60GHz,br
Intel Core i7-9700T @ 2.00GHz,br
Intel Core i9-10850K @ 3.60GHz,br
Intel Core i9-10900 @ 2.80GHz,br
Intel Core i9-10900F @ 2.80GHz,br
Intel Core i9-10900K @ 3.70GHz,br
Intel Core i9-10900KF @ 3.70GHz,br
Intel Core i9-10900T @ 1.90GHz,br
Intel Core i9-10910 @ 3.60GHz,br
Intel Core i9-11900 @ 2.50GHz,br
Intel Core i9-11900F @ 2.50GHz,br
Intel Core i9-11900K @ 3.50GHz,br
Intel Core i9-11900KF @ 3.50GHz,br
Intel Core i9-11900T @ 1.50GHz,br
Intel Core i9-12900,br
Intel Core i9-12900F,br
Intel Core i9-12900K,br
Intel Core i9-12900KF,br
Intel Core i9-12900KS,br
Intel Core i9-12900T,br
Intel Core i9-13900K,br
Intel Core i9-13900KF,br
Intel Core i9-9900 @ 3.10GHz,br
Intel Core i9-9900K @ 3.60GHz,br
Intel Core i9-9900KF @ 3.60GHz,br
Intel Core i9-9900KS @ 4.00GHz,br
Intel Core i9-9900T @ 2.10GHz,br
Intel Pentium Gold G5400 @ 3.70GHz,br
